Policy_ID,Sub_Type,Business_Type,Employees,Annual_Premium,Coverage_Amount,Risk_Level,Claim_Status,No_Claim_Years
B03009,Professional Indemnity,Construction,285,165998.73,4223789,Low,No,5
B03010,Professional Indemnity,Retail,265,189890.68,8913236,Medium,Yes,1
B03011,Professional Indemnity,Healthcare,167,126125.49,4465084,Low,No,2
B03012,Workers Compensation,Healthcare,219,123717.0,4453812,Medium,No,0
B03013,Liability,Retail,331,30298.0,333278,Medium,Yes,0
B03014,Liability,IT,404,160453.47,7671555,Medium,No,3
B03015,Workers Compensation,IT,251,89691.54,4167450,Low,No,5
B03016,Liability,Construction,244,102055.0,2551375,Medium,Yes,0
B03017,Professional Indemnity,IT,321,146878.09,6499600,Low,Yes,5
B03018,Workers Compensation,Retail,258,106397.81,4590573,Low,Yes,5
B03019,Workers Compensation,IT,493,184368.22,2546544,Medium,Yes,3
B03020,Professional Indemnity,Manufacturing,386,44328.26,1836822,High,No,3
B03021,Liability,Retail,491,161682.67,5325335,Low,Yes,3
B03022,Professional Indemnity,Construction,488,154685.0,7115510,Low,No,0
B03023,Professional Indemnity,Manufacturing,124,171329.89,2366455,Medium,No,3
B03024,Liability,Manufacturing,471,160377.0,7858473,High,No,0
B03025,Professional Indemnity,Retail,396,166454.51,5305650,High,No,3
B03026,Professional Indemnity,IT,378,127268.36,5519200,Medium,No,4
B03027,Professional Indemnity,Manufacturing,348,20619.34,935251,Low,No,5
B03028,Liability,Construction,346,73502.39,3279990,Low,Yes,3
B03029,Liability,Manufacturing,116,45487.68,1299648,Medium,Yes,1
B03030,Workers Compensation,Construction,242,34632.82,613024,High,No,5
B03031,Liability,IT,248,165048.71,4017024,High,No,5
B03032,Professional Indemnity,Construction,76,134810.69,4153786,Medium,No,3
B03033,Liability,Retail,467,120004.86,5747838,Low,Yes,2
B03034,Workers Compensation,Manufacturing,461,141721.87,6474811,Low,No,3
B03035,Workers Compensation,Retail,261,132749.81,6902420,Medium,Yes,5
B03036,Liability,Healthcare,245,176245.16,3956524,Medium,Yes,1
B03037,Workers Compensation,Retail,274,74306.81,986460,Low,Yes,5
B03038,Liability,Retail,73,56050.12,2459342,Medium,No,1
B03039,Liability,Healthcare,255,164150.0,4760350,High,No,0
B03040,Workers Compensation,Construction,429,20529.15,378369,Medium,No,4
B03041,Liability,Retail,225,27541.56,1492981,Medium,No,5
B03042,Workers Compensation,Healthcare,54,19346.2,863310,Low,No,3
B03043,Professional Indemnity,Healthcare,407,107240.0,5040280,Medium,No,0
B03044,Liability,Construction,265,99742.13,4109206,High,No,4
B03045,Liability,Manufacturing,351,38636.87,738918,Medium,Yes,3
B03046,Workers Compensation,Healthcare,498,113727.69,1657838,High,No,2
B03047,Professional Indemnity,Manufacturing,377,64467.89,1917888,High,Yes,3
B03048,Professional Indemnity,IT,177,154113.82,5661324,High,No,1
B03049,Workers Compensation,Construction,148,195858.88,2398272,High,No,1
B03050,Liability,Retail,209,167908.65,3321808,Medium,No,2
B03051,Liability,IT,368,121544.0,3160144,Medium,No,0
B03052,Liability,IT,174,181719.44,5910420,High,Yes,4
B03053,Workers Compensation,Healthcare,146,43873.67,1445065,Low,No,3
B03054,Liability,Construction,365,63943.04,2936160,Medium,No,1
B03055,Liability,IT,25,79036.0,1738792,Medium,No,0
B03056,Professional Indemnity,Manufacturing,217,95457.04,4174506,Low,No,2
B03057,Liability,Manufacturing,446,92215.29,2652442,Medium,No,5
B03058,Professional Indemnity,IT,306,34672.4,672220,High,Yes,1
B03059,Liability,IT,441,24123.33,753540,High,No,2
B03060,Professional Indemnity,Manufacturing,281,102695.34,5128264,Medium,No,3
B03061,Liability,Construction,219,119823.93,3767361,Medium,Yes,4
B03062,Liability,Healthcare,494,102778.48,1992644,Medium,Yes,1
B03063,Workers Compensation,Construction,202,89345.62,1823380,Low,No,1
B03064,Workers Compensation,Retail,154,118712.55,1261300,Medium,Yes,3
B03065,Professional Indemnity,Manufacturing,494,65087.72,1944162,Medium,No,5
B03066,Liability,Construction,229,124152.0,3600408,Low,No,0
B03067,Workers Compensation,Construction,435,162581.22,5816745,High,No,4
B03068,Liability,IT,31,107790.2,3629670,Low,No,1
B03069,Workers Compensation,Construction,272,183967.25,4986275,Low,No,4
B03070,Workers Compensation,Healthcare,213,135955.4,3606980,Medium,No,1
B03071,Workers Compensation,IT,439,153158.31,3320980,Low,No,4
B03072,Liability,Manufacturing,210,140301.95,5843480,Medium,No,2
B03073,Workers Compensation,Retail,425,159344.08,6178648,Low,No,1
B03074,Professional Indemnity,Retail,327,99501.39,1833892,Medium,No,4
B03075,Liability,Healthcare,166,124447.0,5475668,Low,No,0
B03076,Workers Compensation,Healthcare,83,107358.31,1341420,Low,No,2
B03077,Professional Indemnity,IT,182,129775.01,6350922,High,No,2
B03078,Professional Indemnity,IT,171,194970.0,4289340,Low,Yes,0
B03079,Liability,Retail,288,184421.06,3998860,Medium,No,4
B03080,Liability,IT,52,30781.68,588690,Low,No,3
B03081,Liability,Retail,205,175433.0,7719052,High,Yes,0
B03082,Professional Indemnity,Healthcare,271,133706.49,1594560,Medium,Yes,4
B03083,Professional Indemnity,Construction,248,151379.0,1513790,Medium,Yes,0
B03084,Liability,IT,179,111858.0,5369184,Medium,No,0
B03085,Workers Compensation,Healthcare,29,41844.04,1152846,High,Yes,1
B03086,Professional Indemnity,Healthcare,330,26562.36,575960,Medium,No,4
B03087,Liability,Construction,459,112749.15,1916704,High,No,3
B03088,Liability,Construction,329,156282.56,3029968,Medium,Yes,1
B03089,Workers Compensation,Manufacturing,49,165974.0,4149350,Medium,No,0
B03090,Professional Indemnity,Retail,49,76951.68,2639061,Medium,No,5
B03091,Liability,IT,173,61296.0,2084064,Medium,No,0
B03092,Liability,IT,365,73967.0,1183472,Low,No,0
B03093,Professional Indemnity,Healthcare,458,91672.33,2385312,Low,No,4
B03094,Workers Compensation,Healthcare,330,23575.73,715680,Low,No,4
B03095,Professional Indemnity,Manufacturing,311,40553.38,496572,Medium,No,1
B03096,Liability,IT,292,55031.5,1578690,High,No,3
B03097,Professional Indemnity,Construction,8,150343.76,4295536,Medium,No,1
B03098,Liability,Manufacturing,139,118742.9,3585531,Medium,Yes,2
B03099,Professional Indemnity,Manufacturing,419,178301.0,7132040,High,No,0
B03100,Liability,Manufacturing,283,99074.24,3397755,Low,No,5
B03101,Liability,Manufacturing,384,84970.0,1359520,High,No,0
B03102,Liability,IT,319,125384.0,1379224,Medium,No,0
B03103,Professional Indemnity,Healthcare,95,122340.26,3370599,Low,No,1
B03104,Workers Compensation,IT,459,30510.04,1518885,Medium,Yes,5
B03105,Liability,Retail,167,98878.09,5141236,Medium,No,5
B03106,Liability,Retail,447,113829.84,3148225,Medium,No,5
B03107,Liability,Construction,315,132900.74,6102585,Medium,Yes,1
B03108,Workers Compensation,Retail,268,29618.0,1303192,Low,No,0
B03109,Professional Indemnity,IT,281,93119.6,2090440,Medium,No,1
B03110,Workers Compensation,IT,339,56440.63,2753595,Medium,No,4
B03111,Workers Compensation,Healthcare,359,78282.31,4073808,Medium,No,4
B03112,Professional Indemnity,IT,123,39648.84,1335114,Medium,No,1
B03113,Workers Compensation,Manufacturing,382,156878.17,4859484,Medium,No,5
B03114,Professional Indemnity,Retail,5,181769.0,5271301,Medium,No,0
B03115,Liability,IT,49,128704.38,3808599,High,No,1
B03116,Liability,Construction,334,179631.06,7515177,Low,No,1
B03117,Professional Indemnity,IT,278,40272.12,1767042,High,No,1
B03118,Liability,Retail,328,142067.17,4289825,Medium,No,2
B03119,Workers Compensation,Manufacturing,410,117848.21,4982913,Medium,No,4
B03120,Professional Indemnity,Healthcare,430,150860.77,3337920,Medium,No,5
B03121,Professional Indemnity,IT,191,87962.86,2336475,Medium,No,3
B03122,Liability,IT,173,175488.09,7183217,High,No,5
B03123,Professional Indemnity,IT,200,181242.52,2118237,Low,No,3
B03124,Workers Compensation,Healthcare,35,147237.0,2606236,Medium,Yes,2
B03125,Liability,Healthcare,269,59564.4,2066520,Medium,No,1
B03126,Liability,Retail,213,188658.09,3142992,High,Yes,2
B03127,Workers Compensation,Retail,285,94312.24,3240633,High,No,2
B03128,Workers Compensation,Construction,403,137111.0,1919554,High,No,0
B03129,Professional Indemnity,Manufacturing,422,71753.79,3656271,Medium,Yes,4
B03130,Professional Indemnity,Construction,23,150236.83,4309848,Medium,No,3
B03131,Workers Compensation,Construction,80,85266.86,3480280,Medium,No,1
B03132,Liability,Construction,462,148945.52,7121340,High,No,3
B03133,Workers Compensation,Healthcare,10,20024.56,1063344,Medium,No,5
B03134,Workers Compensation,Healthcare,13,118657.96,2269296,High,No,3
B03135,Liability,Manufacturing,161,176688.49,9382512,Medium,No,5
B03136,Workers Compensation,Construction,437,101077.71,3616305,Low,No,4
B03137,Liability,IT,239,140958.31,2183174,Medium,No,5
B03138,Workers Compensation,Healthcare,382,113580.23,2172186,Medium,No,3
B03139,Professional Indemnity,Healthcare,492,19898.68,422840,Low,Yes,3
B03140,Liability,Manufacturing,349,67869.09,2327573,Low,No,5
B03141,Workers Compensation,Healthcare,123,83038.1,3285556,Low,Yes,2
B03142,Workers Compensation,IT,218,130915.4,6954766,Low,No,4
B03143,Liability,Construction,162,85541.0,3079476,Low,No,0
B03144,Workers Compensation,Construction,472,160507.34,3111877,High,No,1
B03145,Liability,Retail,477,67800.65,2089073,High,No,3
B03146,Professional Indemnity,Construction,148,151083.66,4316676,Medium,Yes,1
B03147,Professional Indemnity,Retail,116,86735.0,1214290,Medium,Yes,0
B03148,Liability,Construction,370,151310.04,3396756,Medium,No,1
B03149,Liability,Retail,405,161909.0,4533452,Medium,Yes,0
B03150,Workers Compensation,Manufacturing,238,32347.71,608362,Medium,Yes,5
B03151,Workers Compensation,Retail,396,180775.13,3952809,Medium,Yes,2
B03152,Liability,Healthcare,485,113662.11,4347504,Medium,No,3
B03153,Liability,IT,296,61020.0,1525500,Low,No,0
B03154,Workers Compensation,IT,431,78476.44,3923822,Low,No,1
B03155,Liability,Construction,490,29503.55,846369,High,Yes,3
B03156,Liability,IT,339,74715.28,933552,Low,No,2
B03157,Liability,IT,178,152734.59,6420822,Low,Yes,5
B03158,Workers Compensation,Construction,192,63471.16,1078992,Medium,No,3
B03159,Workers Compensation,Manufacturing,423,162230.0,5353590,Medium,No,0
B03160,Workers Compensation,Healthcare,280,34277.64,428292,Low,Yes,2
B03161,Professional Indemnity,Retail,118,172117.4,7903350,High,No,1
B03162,Workers Compensation,Retail,125,143273.43,5370516,High,No,2
B03163,Liability,Healthcare,159,26261.18,546880,Medium,No,2
B03164,Professional Indemnity,Manufacturing,23,82725.36,1255632,High,No,4
B03165,Professional Indemnity,Manufacturing,318,64796.27,2024040,Low,No,2
B03166,Liability,Retail,328,112792.26,4110505,Low,No,2
B03167,Workers Compensation,Construction,196,54341.6,2482691,Medium,No,3
B03168,Workers Compensation,Manufacturing,396,161991.06,2148861,Medium,Yes,1
B03169,Professional Indemnity,Manufacturing,290,92168.11,3231591,High,No,3
B03170,Workers Compensation,IT,230,102571.1,5013080,Medium,No,3
B03171,Liability,Manufacturing,453,159757.0,6390280,Medium,No,0
B03172,Liability,Retail,467,150543.66,2559200,High,Yes,3
B03173,Liability,IT,359,59575.76,904260,Medium,No,4
B03174,Professional Indemnity,Construction,257,18585.72,221650,Medium,No,4
B03175,Workers Compensation,Construction,192,194592.0,8172864,Medium,No,0
B03176,Professional Indemnity,Manufacturing,238,167061.74,9056131,Low,No,5
B03177,Professional Indemnity,IT,362,173516.84,4603508,Medium,No,1
B03178,Professional Indemnity,Retail,362,127674.4,2735880,Low,No,1
B03179,Liability,Retail,343,140430.55,2238075,Medium,No,3
B03180,Professional Indemnity,IT,357,49475.64,788505,Medium,Yes,3
B03181,Liability,Manufacturing,408,167715.27,5195176,Low,No,5
B03182,Professional Indemnity,Retail,94,63970.0,2039010,Medium,No,3
B03183,Liability,Construction,498,161558.88,5605104,Low,No,1
B03184,Workers Compensation,Retail,269,32477.85,1420314,Medium,No,2
B03185,Professional Indemnity,Healthcare,479,177007.06,4413815,Medium,No,4
B03186,Workers Compensation,Retail,14,146730.87,4125087,High,Yes,2
B03187,Workers Compensation,Healthcare,205,176806.76,5522910,High,No,2
B03188,Professional Indemnity,Healthcare,212,71866.34,2419989,High,No,1
B03189,Professional Indemnity,Construction,361,46169.31,1442190,Medium,No,2
B03190,Professional Indemnity,Retail,256,60871.83,2761022,Medium,No,5
B03191,Workers Compensation,Construction,375,126208.0,2397952,High,No,0
B03192,Workers Compensation,Healthcare,140,66070.74,701990,Low,No,3
B03193,Professional Indemnity,Construction,220,136411.0,4092330,Low,Yes,0
B03194,Liability,Retail,414,98915.68,1930338,High,No,4
B03195,Liability,Retail,15,147771.85,4867155,High,No,3
B03196,Workers Compensation,Healthcare,428,129539.71,2697620,Medium,No,2
B03197,Liability,Construction,353,172729.12,2434471,Medium,No,4
B03198,Liability,Healthcare,92,20384.34,714714,Medium,No,3
B03199,Workers Compensation,Healthcare,434,88407.97,2249515,Medium,Yes,5
B03200,Professional Indemnity,Manufacturing,260,180439.77,7785141,Medium,No,5
B03201,Workers Compensation,Manufacturing,354,118698.36,2363670,Medium,No,5
B03202,Liability,Manufacturing,467,97818.69,3030048,High,No,5
B03203,Professional Indemnity,Healthcare,402,91578.94,3337425,Medium,No,2
B03204,Professional Indemnity,Manufacturing,488,86352.0,4231248,Low,No,0
B03205,Liability,Healthcare,361,118548.78,4030592,Medium,No,3
B03206,Workers Compensation,Construction,131,165670.92,3795044,Low,No,2
B03207,Liability,Retail,173,98323.08,2066706,Medium,No,5
B03208,Liability,Retail,6,150179.0,6758055,Medium,No,0
B03209,Liability,Manufacturing,356,46622.94,707658,Low,No,4
B03210,Professional Indemnity,Healthcare,336,129427.62,3928988,Medium,No,4
B03211,Liability,Construction,467,120810.86,3143496,Low,No,4
B03212,Liability,IT,416,80730.07,2768641,Medium,Yes,5
B03213,Liability,Construction,393,44198.04,2347982,Medium,No,4
B03214,Liability,Manufacturing,287,32725.14,1001790,Low,No,1
B03215,Workers Compensation,Healthcare,320,86470.13,1378095,Low,No,3
B03216,Liability,Manufacturing,498,126490.56,5644548,Medium,No,3
B03217,Workers Compensation,Manufacturing,405,113505.33,5399510,Low,No,5
B03218,Professional Indemnity,Retail,88,112222.74,2748312,Low,No,1
B03219,Workers Compensation,Manufacturing,147,120897.07,3524696,High,No,2
B03220,Liability,Healthcare,355,128655.18,3750880,Medium,Yes,2
B03221,Liability,Construction,79,49102.27,1171170,High,No,4
B03222,Liability,Manufacturing,62,195409.0,4494407,High,No,0
B03223,Workers Compensation,Healthcare,195,156181.21,5041251,Medium,Yes,2
B03224,Liability,Retail,51,182716.0,6943208,Medium,No,0
B03225,Workers Compensation,Manufacturing,490,152954.05,4712819,Medium,No,3
B03226,Professional Indemnity,Manufacturing,278,140229.0,6450534,Medium,No,0
B03227,Professional Indemnity,Manufacturing,371,96332.88,3787024,Medium,No,3
B03228,Workers Compensation,Construction,492,61414.64,1817372,Low,Yes,1
B03229,Professional Indemnity,Healthcare,412,137244.1,3361080,Medium,No,1
B03230,Professional Indemnity,Retail,445,120602.02,4803156,Low,No,5
B03231,Professional Indemnity,IT,207,156550.04,6581220,Low,No,5
B03232,Professional Indemnity,IT,5,80402.83,871700,Low,No,4
B03233,Professional Indemnity,Healthcare,267,26766.35,306570,Medium,No,2
B03234,Liability,Healthcare,429,160271.61,3648981,Low,No,4
B03235,Workers Compensation,Manufacturing,268,93577.07,3579264,Low,No,3
B03236,Liability,IT,85,33949.6,404877,Low,Yes,4
B03237,Workers Compensation,Healthcare,425,58987.0,2241506,Medium,No,0
B03238,Professional Indemnity,IT,261,100962.61,4827195,Low,Yes,3
B03239,Workers Compensation,IT,288,151827.96,6550674,Medium,Yes,5
B03240,Liability,Manufacturing,52,105277.48,3115354,Low,No,1
B03241,Liability,IT,171,106730.45,1771125,Medium,No,5
B03242,Liability,IT,245,158589.89,8091321,Medium,No,2
B03243,Liability,Healthcare,424,160021.46,4590540,Medium,No,3
B03244,Professional Indemnity,Healthcare,135,161021.01,4790296,Medium,No,3
B03245,Professional Indemnity,Retail,81,156902.0,6589884,Medium,No,0
B03246,Workers Compensation,Healthcare,482,21629.17,1103529,Medium,No,2
B03247,Professional Indemnity,Construction,120,125740.86,1411377,Low,No,1
B03248,Professional Indemnity,Healthcare,393,71321.65,3410010,High,Yes,3
B03249,Professional Indemnity,Construction,469,173322.39,4603800,Medium,No,3
B03250,Liability,IT,163,198743.0,2782402,Medium,No,0
B03251,Liability,Construction,386,144274.98,2971942,Low,Yes,4
B03252,Liability,Retail,237,86498.72,882640,Medium,No,1
B03253,Workers Compensation,Healthcare,241,132996.58,6326719,Medium,No,5
B03254,Professional Indemnity,IT,375,86206.46,2064503,Medium,No,2
B03255,Liability,Healthcare,16,106578.7,5208948,Medium,No,3
B03256,Liability,IT,235,114839.54,4758585,Low,Yes,3
B03257,Professional Indemnity,IT,464,112199.17,1861875,Low,Yes,5
B03258,Workers Compensation,Construction,50,31011.12,1423980,Medium,No,1
B03259,Liability,Healthcare,304,32138.07,731703,Low,Yes,4
B03260,Professional Indemnity,IT,312,180821.81,3073920,High,Yes,3
B03261,Professional Indemnity,Manufacturing,338,103011.72,4414788,Medium,No,1
B03262,Liability,Manufacturing,435,21215.02,539810,Medium,Yes,5
B03263,Liability,Construction,225,189014.0,3213238,High,Yes,0
B03264,Liability,IT,181,26998.64,1287924,Medium,Yes,4
B03265,Liability,Construction,219,179006.07,7828254,High,No,2
B03266,Professional Indemnity,Retail,278,129546.61,3165743,Low,No,3
B03267,Liability,Manufacturing,202,136088.68,3749382,Medium,Yes,1
B03268,Liability,Retail,295,195895.0,6856325,Medium,No,0
B03269,Workers Compensation,Construction,278,60336.17,1759072,Medium,No,2
B03270,Professional Indemnity,Healthcare,221,57982.68,591660,Medium,No,1
B03271,Workers Compensation,IT,444,143937.5,7050000,Medium,Yes,1
B03272,Professional Indemnity,Manufacturing,310,165228.18,2408574,Medium,No,2
B03273,Workers Compensation,Healthcare,428,188730.0,7360470,Medium,No,0
B03274,Workers Compensation,Manufacturing,119,22376.56,1064465,Low,No,5
B03275,Liability,Retail,499,26282.0,841024,High,No,0
B03276,Workers Compensation,IT,132,161621.96,8060350,Low,No,4
B03277,Workers Compensation,IT,13,173955.81,4990275,Low,No,3
B03278,Workers Compensation,IT,167,156453.96,5050055,Medium,No,2
B03279,Professional Indemnity,Manufacturing,455,111975.0,5698342,Medium,Yes,5
B03280,Workers Compensation,IT,32,149297.06,6684479,Medium,No,2
B03281,Workers Compensation,Construction,154,28918.6,662442,High,No,2
B03282,Liability,Healthcare,50,135931.0,3534206,Medium,No,0
B03283,Liability,Manufacturing,151,122457.55,4293597,High,Yes,3
B03284,Professional Indemnity,Manufacturing,188,63820.5,3113640,Low,No,4
B03285,Professional Indemnity,Retail,88,111423.06,4547880,Low,Yes,1
B03286,Liability,IT,194,178200.26,6000621,Medium,Yes,1
B03287,Professional Indemnity,IT,389,85149.06,1595880,Low,No,2
B03288,Liability,Retail,435,173035.33,7537727,High,No,3
B03289,Liability,Construction,413,69287.34,919824,Medium,No,5
B03290,Liability,Healthcare,408,117012.0,4212432,Medium,No,0
B03291,Workers Compensation,Construction,375,85144.93,1447440,High,No,3
B03292,Professional Indemnity,Manufacturing,312,54449.84,1735560,Low,Yes,3
B03293,Professional Indemnity,Construction,153,41596.0,1580648,Medium,Yes,0
B03294,Professional Indemnity,IT,145,58430.74,2311920,High,No,2
B03295,Professional Indemnity,Construction,298,100881.66,1929330,Medium,Yes,3
B03296,Liability,Retail,275,28565.04,874440,Low,No,1
B03297,Liability,Healthcare,252,164564.0,3784972,High,No,0
B03298,Workers Compensation,Healthcare,452,79712.26,881850,Medium,Yes,5
B03299,Workers Compensation,Manufacturing,292,77109.98,3762000,High,No,4
B03300,Liability,Retail,257,46836.79,1804416,Medium,No,2
B03301,Liability,Retail,192,169912.0,6116832,Low,No,0
B03302,Liability,Construction,260,23417.08,482372,Medium,Yes,4
B03303,Liability,Construction,62,99983.79,2818374,Medium,Yes,4
B03304,Workers Compensation,Retail,384,122476.75,1490445,Low,No,5
B03305,Workers Compensation,IT,30,176843.39,3194181,Medium,No,3
B03306,Liability,Manufacturing,221,164980.91,6023061,High,No,5
B03307,Liability,Construction,448,50431.89,1018077,High,No,3
B03308,Workers Compensation,Retail,49,180190.27,6700715,Medium,Yes,3
B03309,Liability,Retail,181,128167.0,5254847,Medium,No,0
B03310,Workers Compensation,Healthcare,209,140027.0,1960378,High,Yes,0
B03311,Liability,IT,175,39443.63,862470,Medium,No,2
B03312,Professional Indemnity,Construction,249,152298.98,4369005,Low,Yes,3
B03313,Liability,IT,337,169803.37,4050090,Low,Yes,4
B03314,Liability,Construction,172,62290.76,1906860,High,No,1
B03315,Liability,IT,304,63524.7,3174912,Low,Yes,2
B03316,Liability,Construction,81,174652.0,3493040,Medium,Yes,0
B03317,Professional Indemnity,Retail,69,157863.44,1921073,Low,No,5
B03318,Professional Indemnity,Manufacturing,487,65141.05,3187869,Medium,No,2
B03319,Professional Indemnity,Healthcare,144,123240.45,2566440,Low,No,2
B03320,Workers Compensation,Healthcare,276,43185.35,1214082,Medium,Yes,2
B03321,Professional Indemnity,Retail,38,49560.48,1857744,High,Yes,2
B03322,Professional Indemnity,IT,302,117408.9,5391225,Medium,No,1
B03323,Professional Indemnity,Healthcare,281,173302.41,2492399,Medium,No,5
B03324,Professional Indemnity,IT,278,154550.57,8035966,Medium,Yes,5
B03325,Professional Indemnity,IT,80,93709.47,2591750,High,Yes,5
B03326,Professional Indemnity,Construction,383,163706.23,4000505,Medium,No,3
B03327,Workers Compensation,IT,387,99691.4,4215198,Medium,No,4
B03328,Professional Indemnity,Healthcare,47,40646.61,1618812,Medium,No,5
B03329,Workers Compensation,IT,194,165669.96,8452549,Medium,No,2
B03330,Workers Compensation,Healthcare,194,95907.46,4893238,High,Yes,2
B03331,Workers Compensation,Construction,53,56126.25,807196,Medium,No,5
B03332,Workers Compensation,IT,86,102933.08,3757842,Medium,No,5
B03333,Workers Compensation,Manufacturing,288,153786.93,4643712,Medium,No,2
B03334,Professional Indemnity,IT,147,77326.45,3286320,Low,Yes,3
B03335,Workers Compensation,Manufacturing,339,66642.0,733062,Medium,Yes,0
B03336,Workers Compensation,Healthcare,436,185039.0,2590546,Medium,No,0
B03337,Liability,Construction,250,79801.74,4237632,High,No,5
B03338,Professional Indemnity,Manufacturing,221,177687.72,7796502,Medium,No,1
B03339,Professional Indemnity,IT,342,156693.77,4853772,Medium,No,5
B03340,Workers Compensation,Construction,368,81080.79,1166087,High,No,5
B03341,Workers Compensation,Retail,473,109837.0,3295110,Medium,Yes,0
B03342,Liability,Manufacturing,275,107284.36,4021488,Medium,No,2
B03343,Professional Indemnity,Healthcare,48,143774.03,6044128,High,No,5
B03344,Workers Compensation,IT,207,110599.66,1497080,Medium,No,2
B03345,Liability,Construction,71,59167.36,2341066,Medium,Yes,2
B03346,Workers Compensation,Construction,23,156063.04,5892176,Medium,No,1
B03347,Workers Compensation,Construction,277,53358.86,1444534,Low,No,2
B03348,Liability,Retail,65,122637.0,4047021,Low,No,0
B03349,Liability,Retail,203,46173.94,1471770,Medium,No,3
B03350,Professional Indemnity,Healthcare,249,80814.51,3949744,High,Yes,3
B03351,Workers Compensation,Retail,273,48176.21,731234,High,Yes,4
B03352,Liability,Construction,26,171765.74,5890713,Medium,No,5
B03353,Professional Indemnity,IT,71,162901.0,3909624,Medium,No,0
B03354,Professional Indemnity,Retail,337,69384.1,2167350,Medium,No,2
B03355,Workers Compensation,Manufacturing,36,110474.29,2347540,Medium,No,3
B03356,Liability,Healthcare,241,90384.0,2169216,Medium,No,0
B03357,Workers Compensation,Retail,128,89140.29,1515360,Low,No,3
B03358,Professional Indemnity,Retail,231,184870.28,2887395,High,No,2
B03359,Workers Compensation,Manufacturing,244,49399.4,997234,Medium,No,3
B03360,Liability,IT,270,48520.66,1449306,Low,No,5
B03361,Professional Indemnity,Manufacturing,182,148175.22,7376625,Low,No,5
B03362,Professional Indemnity,Healthcare,54,53823.87,2159098,Low,No,4
B03363,Liability,Retail,44,142828.71,4955200,Medium,No,4
B03364,Professional Indemnity,Construction,481,78518.94,2335900,Low,No,3
B03365,Liability,Retail,387,120231.0,4448547,Low,No,0
B03366,Workers Compensation,Healthcare,190,49734.63,1760672,Medium,No,5
B03367,Workers Compensation,Construction,372,28921.0,318131,Low,Yes,0
B03368,Liability,Construction,488,20812.0,353804,Low,No,0
B03369,Workers Compensation,Construction,207,156620.94,6323466,Low,No,3
B03370,Liability,Construction,67,99782.0,2195204,Low,No,0
B03371,Professional Indemnity,Retail,275,56747.24,2134486,Medium,No,5
B03372,Workers Compensation,IT,89,174093.63,6163248,High,No,2
B03373,Workers Compensation,Manufacturing,323,165171.23,3581460,Low,No,4
B03374,Workers Compensation,Retail,468,164689.39,5658840,Medium,No,2
B03375,Workers Compensation,IT,185,76403.0,993239,Medium,Yes,0
B03376,Professional Indemnity,Construction,441,123712.97,3864420,Medium,No,2
B03377,Professional Indemnity,Healthcare,72,179760.92,6562644,Low,Yes,5
B03378,Professional Indemnity,IT,140,156747.1,2601120,Low,No,5
B03379,Professional Indemnity,IT,423,57309.0,2406978,Low,Yes,0
B03380,Liability,IT,187,58552.5,1430853,Medium,Yes,3
B03381,Liability,Manufacturing,248,51986.45,2381720,High,Yes,2
B03382,Liability,Healthcare,37,118881.96,4420850,Medium,No,3
B03383,Professional Indemnity,Retail,67,43826.61,2095425,Low,No,3
B03384,Liability,Manufacturing,384,177305.52,4523100,Medium,No,1
B03385,Workers Compensation,Retail,487,132046.0,5281840,Medium,No,0
B03386,Professional Indemnity,Retail,115,170342.03,1846790,High,No,4
B03387,Professional Indemnity,Retail,397,132164.97,7018224,Medium,No,5
B03388,Professional Indemnity,Healthcare,301,129596.93,5161392,Low,No,5
B03389,Professional Indemnity,Construction,243,151040.0,5135360,High,No,0
B03390,Liability,Manufacturing,481,44071.67,716715,Low,No,4
B03391,Workers Compensation,Retail,431,80863.85,1610262,Medium,No,5
B03392,Workers Compensation,IT,395,187008.0,8415360,Medium,No,0
B03393,Professional Indemnity,Manufacturing,492,178484.58,6121136,Low,No,5
B03394,Liability,Construction,387,49549.05,2474315,High,No,3
B03395,Workers Compensation,Manufacturing,331,94522.57,2263660,High,Yes,2
B03396,Professional Indemnity,Healthcare,252,71823.51,1720055,High,Yes,2
B03397,Workers Compensation,Manufacturing,201,19331.25,620194,Medium,No,5
B03398,Professional Indemnity,IT,284,167960.24,2399432,Medium,No,1
B03399,Professional Indemnity,Construction,439,157795.06,2737216,Medium,No,4
B03400,Professional Indemnity,Construction,442,96232.51,3442956,High,No,4
B03401,Workers Compensation,IT,226,62561.47,3187869,Low,Yes,4
B03402,Workers Compensation,IT,226,178003.88,6619410,Medium,No,3
B03403,Workers Compensation,IT,474,107856.2,2572548,Low,No,4
B03404,Professional Indemnity,Retail,401,40238.84,1508328,Low,No,2
B03405,Liability,Manufacturing,79,153065.11,3252580,Medium,No,3
B03406,Liability,Construction,496,159118.0,4773540,High,No,0
B03407,Liability,Manufacturing,155,168857.02,8421174,Medium,No,4
B03408,Workers Compensation,Healthcare,76,178683.0,2324664,Medium,Yes,4
B03409,Professional Indemnity,Manufacturing,479,68822.0,2339948,High,No,0
B03410,Liability,Construction,253,69372.23,3083651,Medium,No,4
B03411,Workers Compensation,Healthcare,104,182377.0,5288933,Medium,No,0
B03412,Workers Compensation,Healthcare,80,187780.98,8778616,Low,No,3
B03413,Professional Indemnity,IT,76,104630.78,4793580,Medium,No,2
B03414,Liability,IT,209,87948.0,4045608,High,No,0
