Policy_ID,Sub_Type,Property_Type,Property_Value,Annual_Premium,Risk_Type,Location,Claim_Status,No_Claim_Years
PR01369,Theft Insurance,Warehouse,2923244,15781.55,Earthquake,Urban,No,5
PR01370,Theft Insurance,Factory,5937221,37456.67,Flood,Urban,No,5
PR01371,Fire Insurance,Apartment,1992642,9347.0,Fire,Rural,Yes,0
PR01372,Home Insurance,Shop,1275246,3241.84,Theft,Rural,Yes,1
PR01373,Theft Insurance,Shop,9780889,50514.41,Fire,Coastal,No,4
PR01374,Home Insurance,Warehouse,3422573,16039.79,Flood,Urban,No,3
PR01375,Theft Insurance,Shop,4688211,32347.23,Theft,Industrial,No,2
PR01376,Theft Insurance,Shop,5101888,11423.25,Theft,Industrial,No,3
PR01377,Home Insurance,Apartment,5125106,37178.26,Flood,Urban,No,1
PR01378,Home Insurance,Apartment,7332378,39857.48,Fire,Coastal,No,5
PR01379,Home Insurance,Factory,6873080,31100.75,Fire,Rural,Yes,3
PR01380,Fire Insurance,Shop,2885668,12884.0,Flood,Rural,No,0
PR01381,Fire Insurance,Shop,3624282,30955.26,Earthquake,Coastal,Yes,1
PR01382,Theft Insurance,Warehouse,5479555,34533.39,Theft,Industrial,Yes,5
PR01383,Theft Insurance,Warehouse,4777424,9896.92,Flood,Coastal,Yes,2
PR01384,Theft Insurance,House,9062266,30294.0,Earthquake,Urban,No,5
PR01385,Fire Insurance,Shop,7541982,57727.0,Earthquake,Coastal,Yes,0
PR01386,Home Insurance,Shop,9187459,19125.68,Earthquake,Industrial,Yes,1
PR01387,Theft Insurance,Shop,7315457,47934.52,Theft,Industrial,No,2
PR01388,Home Insurance,House,8685743,72531.0,Flood,Rural,No,0
PR01389,Home Insurance,Shop,5516536,25797.9,Fire,Coastal,No,5
PR01390,Home Insurance,Factory,883262,6215.0,Theft,Coastal,No,0
PR01391,Home Insurance,Factory,7282656,45110.38,Earthquake,Coastal,No,1
PR01392,Theft Insurance,Apartment,7549204,42297.96,Theft,Rural,No,4
PR01393,Theft Insurance,Warehouse,9552042,85407.0,Earthquake,Coastal,No,0
PR01394,Theft Insurance,House,4476370,11356.0,Fire,Coastal,No,0
PR01395,Theft Insurance,Shop,5320929,38888.48,Fire,Urban,Yes,5
PR01396,Theft Insurance,Shop,3556798,8573.69,Fire,Industrial,No,5
PR01397,Home Insurance,House,8475253,51288.24,Flood,Rural,No,2
PR01398,Fire Insurance,House,5999877,39299.76,Flood,Urban,No,5
PR01399,Home Insurance,Warehouse,6683579,31456.52,Fire,Industrial,Yes,3
PR01400,Home Insurance,House,1163048,10734.92,Earthquake,Rural,No,1
PR01401,Home Insurance,Shop,3726524,13128.08,Fire,Coastal,No,1
PR01402,Fire Insurance,House,7949392,21514.24,Theft,Rural,No,4
PR01403,Home Insurance,Factory,214014,567.26,Flood,Rural,No,4
PR01404,Home Insurance,Factory,7820956,53958.8,Earthquake,Urban,No,1
PR01405,Home Insurance,Factory,8364739,74509.82,Flood,Rural,No,4
PR01406,Theft Insurance,Shop,7122364,37571.81,Theft,Industrial,No,2
PR01407,Home Insurance,House,675723,2841.02,Earthquake,Coastal,No,5
PR01408,Theft Insurance,Apartment,5080409,49342.02,Earthquake,Coastal,No,1
PR01409,Fire Insurance,Warehouse,1368510,12285.02,Earthquake,Rural,Yes,4
PR01410,Home Insurance,Apartment,3572385,24680.32,Theft,Industrial,No,1
PR01411,Home Insurance,Factory,7362664,58404.73,Earthquake,Industrial,No,3
PR01412,Home Insurance,House,4867717,38912.0,Flood,Urban,No,0
PR01413,Fire Insurance,Apartment,4463297,36287.9,Flood,Rural,No,5
PR01414,Home Insurance,House,7678772,41649.02,Earthquake,Industrial,No,1
PR01415,Fire Insurance,Shop,9349702,56416.0,Earthquake,Industrial,No,0
PR01416,Home Insurance,Shop,4428476,9843.51,Flood,Coastal,No,4
PR01417,Fire Insurance,House,8235509,46440.0,Fire,Industrial,No,0
PR01418,Home Insurance,Warehouse,265921,1562.88,Fire,Urban,No,5
PR01419,Home Insurance,Apartment,1968877,7229.46,Flood,Industrial,No,1
PR01420,Home Insurance,Factory,287991,2385.92,Fire,Urban,No,3
PR01421,Home Insurance,Shop,874470,3270.72,Earthquake,Rural,No,4
PR01422,Home Insurance,Shop,8660187,68031.6,Theft,Urban,No,1
PR01423,Home Insurance,Shop,2591576,23110.54,Theft,Coastal,No,5
PR01424,Fire Insurance,Warehouse,9043330,32927.62,Fire,Urban,No,4
PR01425,Home Insurance,Shop,9337310,87452.1,Fire,Industrial,No,2
PR01426,Home Insurance,Warehouse,7317316,16768.0,Fire,Industrial,No,0
PR01427,Home Insurance,Shop,2141142,7391.36,Flood,Industrial,No,5
PR01428,Fire Insurance,Factory,2089977,12700.33,Theft,Coastal,No,2
PR01429,Theft Insurance,Warehouse,5220062,50776.74,Theft,Coastal,Yes,1
PR01430,Theft Insurance,Apartment,2085488,10001.11,Fire,Coastal,No,3
PR01431,Theft Insurance,Factory,8456658,19966.5,Flood,Industrial,No,4
PR01432,Home Insurance,Apartment,3588946,29348.0,Flood,Rural,Yes,0
PR01433,Theft Insurance,Apartment,7102918,26644.45,Theft,Urban,No,4
PR01434,Home Insurance,Apartment,8376729,58209.06,Flood,Coastal,No,1
PR01435,Home Insurance,House,4010248,28846.14,Earthquake,Urban,No,4
PR01436,Fire Insurance,House,2129648,19390.0,Flood,Industrial,Yes,0
PR01437,Theft Insurance,House,3509535,10892.7,Fire,Rural,No,1
PR01438,Home Insurance,Warehouse,1710833,3494.85,Earthquake,Industrial,No,4
PR01439,Home Insurance,House,7820951,38703.7,Earthquake,Coastal,No,3
PR01440,Theft Insurance,Apartment,3655089,13686.26,Flood,Urban,No,5
PR01441,Fire Insurance,Factory,7362337,39594.94,Earthquake,Industrial,No,1
PR01442,Home Insurance,Apartment,8520026,71687.25,Fire,Coastal,No,5
PR01443,Theft Insurance,House,1416825,9182.6,Theft,Industrial,No,1
PR01444,Theft Insurance,Apartment,8561689,23795.22,Earthquake,Urban,No,3
PR01445,Home Insurance,Shop,2451077,7337.13,Earthquake,Rural,No,5
PR01446,Theft Insurance,Factory,7627246,20732.15,Fire,Industrial,No,2
PR01447,Home Insurance,Warehouse,4021374,12620.0,Fire,Urban,Yes,0
PR01448,Home Insurance,Apartment,9473695,32572.93,Flood,Industrial,No,2
PR01449,Theft Insurance,Apartment,5744823,29065.67,Earthquake,Coastal,No,4
PR01450,Theft Insurance,Warehouse,7314651,49471.88,Earthquake,Coastal,No,3
PR01451,Theft Insurance,Apartment,1323653,11233.8,Flood,Rural,No,2
PR01452,Fire Insurance,Shop,6621208,34037.36,Fire,Urban,No,1
PR01453,Fire Insurance,Shop,4613744,17030.61,Earthquake,Rural,No,4
PR01454,Fire Insurance,Apartment,3218708,8129.75,Fire,Rural,No,4
PR01455,Home Insurance,Factory,7843406,20649.56,Flood,Coastal,No,2
PR01456,Home Insurance,Warehouse,7932189,74858.38,Earthquake,Rural,No,2
PR01457,Theft Insurance,Warehouse,6937147,33340.79,Flood,Rural,Yes,3
PR01458,Home Insurance,Warehouse,8998755,83392.0,Earthquake,Industrial,No,0
PR01459,Home Insurance,House,9077980,84982.91,Fire,Rural,No,2
PR01460,Home Insurance,Warehouse,3832068,31241.81,Earthquake,Industrial,No,2
PR01461,Fire Insurance,Shop,6736779,47597.76,Flood,Rural,No,5
PR01462,Theft Insurance,Apartment,4172093,38323.88,Fire,Rural,Yes,1
PR01463,Fire Insurance,Warehouse,3602157,17377.88,Earthquake,Rural,No,5
PR01464,Theft Insurance,Warehouse,3604244,32170.54,Fire,Urban,No,5
PR01465,Theft Insurance,House,7744251,48239.85,Flood,Rural,Yes,4
PR01466,Home Insurance,House,3420309,25457.0,Theft,Urban,No,0
PR01467,Home Insurance,Apartment,1130073,5129.32,Flood,Coastal,No,1
PR01468,Theft Insurance,Factory,9641739,36955.9,Flood,Coastal,No,3
PR01469,Theft Insurance,Factory,3905321,27054.56,Theft,Urban,No,3
PR01470,Home Insurance,Shop,6291195,18707.63,Theft,Urban,No,2
PR01471,Home Insurance,Factory,5730632,26923.85,Earthquake,Coastal,No,2
PR01472,Theft Insurance,Shop,1746545,14436.0,Flood,Coastal,No,3
PR01473,Theft Insurance,Factory,6004239,39883.49,Earthquake,Coastal,Yes,2
PR01474,Home Insurance,Factory,6078281,28003.0,Theft,Coastal,No,0
PR01475,Home Insurance,Apartment,1437344,3313.77,Earthquake,Rural,No,5
PR01476,Home Insurance,Apartment,6795583,46650.47,Earthquake,Urban,No,2
PR01477,Home Insurance,Shop,8513924,65149.63,Fire,Industrial,No,4
PR01478,Fire Insurance,Warehouse,8548010,46704.25,Theft,Rural,Yes,2
PR01479,Theft Insurance,Factory,5606074,41183.52,Theft,Rural,Yes,1
PR01480,Home Insurance,Apartment,2807972,12906.0,Flood,Urban,No,0
PR01481,Fire Insurance,Warehouse,9326014,28981.54,Flood,Urban,No,1
PR01482,Theft Insurance,Factory,2354770,20952.4,Fire,Industrial,No,1
PR01483,Fire Insurance,House,7558656,40313.95,Flood,Industrial,No,4
PR01484,Theft Insurance,Apartment,5465049,53666.0,Fire,Industrial,Yes,0
PR01485,Theft Insurance,House,1862999,12531.0,Theft,Industrial,Yes,0
PR01486,Fire Insurance,House,8653237,48058.0,Theft,Rural,No,0
PR01487,Home Insurance,Factory,3996983,28185.0,Theft,Coastal,No,0
PR01488,Home Insurance,Factory,6484603,52477.0,Fire,Rural,No,0
PR01489,Fire Insurance,House,9692120,82147.95,Earthquake,Coastal,Yes,4
PR01490,Home Insurance,Warehouse,4689123,33347.01,Fire,Rural,No,2
PR01491,Home Insurance,House,9243831,43159.2,Earthquake,Coastal,Yes,1
PR01492,Fire Insurance,Apartment,7432864,38700.0,Earthquake,Urban,Yes,0
PR01493,Home Insurance,House,1360219,2619.01,Fire,Coastal,No,2
PR01494,Home Insurance,House,6255858,49650.76,Fire,Coastal,No,2
PR01495,Fire Insurance,Apartment,8584453,48835.36,Fire,Urban,No,1
PR01496,Home Insurance,House,3178178,14708.08,Flood,Rural,No,4
PR01497,Fire Insurance,Apartment,3851406,8195.9,Earthquake,Coastal,No,3
PR01498,Fire Insurance,Factory,226557,816.95,Flood,Industrial,No,3
PR01499,Home Insurance,Warehouse,3653459,33557.34,Earthquake,Coastal,No,2
PR01500,Theft Insurance,Apartment,9776181,21990.59,Fire,Coastal,No,5
PR01501,Theft Insurance,Shop,1838972,3461.11,Theft,Coastal,No,5
PR01502,Theft Insurance,House,6484897,15352.68,Flood,Urban,No,1
PR01503,Fire Insurance,Factory,3285076,28381.64,Flood,Coastal,No,3
PR01504,Home Insurance,Warehouse,6773740,59700.38,Theft,Coastal,Yes,2
PR01505,Home Insurance,Shop,6720036,52025.25,Earthquake,Rural,No,4
PR01506,Home Insurance,Factory,6977202,51911.44,Flood,Industrial,No,3
PR01507,Home Insurance,Factory,8442734,55917.37,Theft,Rural,Yes,2
PR01508,Home Insurance,Shop,2112097,13447.52,Flood,Rural,Yes,2
PR01509,Home Insurance,Factory,4582342,21942.0,Theft,Urban,No,0
PR01510,Fire Insurance,Apartment,3778355,15885.02,Theft,Urban,No,4
PR01511,Home Insurance,Apartment,7011675,24551.0,Theft,Industrial,No,0
PR01512,Fire Insurance,Shop,5877875,13041.84,Theft,Industrial,No,1
PR01513,Home Insurance,Factory,8008337,39498.0,Earthquake,Industrial,No,0
PR01514,Fire Insurance,Apartment,1971939,6864.0,Flood,Coastal,No,0
PR01515,Home Insurance,Shop,4805275,22522.72,Flood,Urban,Yes,3
PR01516,Home Insurance,Apartment,873041,3705.17,Earthquake,Industrial,No,5
PR01517,Theft Insurance,Factory,4987745,23802.55,Earthquake,Industrial,No,2
PR01518,Home Insurance,Warehouse,5787849,29004.79,Earthquake,Rural,No,4
PR01519,Home Insurance,Warehouse,4990913,15348.0,Flood,Coastal,Yes,0
PR01520,Home Insurance,Factory,1197615,4761.26,Theft,Rural,Yes,4
PR01521,Home Insurance,Apartment,3849881,29180.37,Theft,Rural,No,5
PR01522,Home Insurance,Apartment,8538557,62242.18,Theft,Urban,No,5
PR01523,Home Insurance,Factory,4627355,12669.0,Theft,Coastal,No,0
PR01524,Home Insurance,House,6399236,33809.02,Fire,Rural,No,1
PR01525,Home Insurance,Shop,9160256,47024.0,Fire,Rural,No,0
PR01526,Home Insurance,Apartment,428677,1516.26,Flood,Industrial,No,3
PR01527,Home Insurance,House,4189068,28453.77,Theft,Urban,No,2
PR01528,Home Insurance,Warehouse,2895693,15484.98,Theft,Industrial,Yes,1
PR01529,Home Insurance,House,2495524,21562.0,Earthquake,Rural,No,0
PR01530,Fire Insurance,House,6808795,23494.56,Theft,Urban,No,4
PR01531,Fire Insurance,Factory,9061241,72671.9,Theft,Urban,Yes,1
PR01532,Home Insurance,Shop,841794,7636.16,Theft,Urban,No,1
PR01533,Home Insurance,House,7708801,58756.0,Flood,Rural,No,0
PR01534,Fire Insurance,House,7937304,21001.4,Flood,Rural,Yes,1
PR01535,Home Insurance,Apartment,9160190,77671.7,Flood,Urban,Yes,4
PR01536,Theft Insurance,Warehouse,1183260,2841.93,Earthquake,Rural,Yes,5
PR01537,Fire Insurance,Shop,490733,3743.6,Earthquake,Industrial,No,1
PR01538,Fire Insurance,Factory,5019880,44208.05,Theft,Industrial,No,5
PR01539,Fire Insurance,Shop,1845642,7280.25,Earthquake,Coastal,No,4
PR01540,Theft Insurance,Factory,4823560,32900.0,Flood,Coastal,No,0
PR01541,Home Insurance,Apartment,4389570,37326.91,Earthquake,Urban,No,2
PR01542,Theft Insurance,Apartment,4700684,42932.82,Theft,Rural,No,1
PR01543,Fire Insurance,Warehouse,5834927,33707.16,Fire,Industrial,No,2
PR01544,Theft Insurance,Apartment,9381097,68516.27,Theft,Industrial,Yes,4
PR01545,Home Insurance,Apartment,6891525,31204.18,Earthquake,Industrial,No,1
PR01546,Fire Insurance,Factory,3296970,10234.19,Theft,Industrial,No,5
PR01547,Theft Insurance,Shop,8068333,19700.09,Theft,Rural,No,3
PR01548,Theft Insurance,House,505317,3941.48,Earthquake,Rural,Yes,2
PR01549,Home Insurance,Warehouse,4166127,9612.82,Flood,Coastal,Yes,1
PR01550,Home Insurance,Apartment,3423623,19826.5,Fire,Urban,No,2
PR01551,Fire Insurance,Shop,7291274,15032.22,Earthquake,Coastal,No,1
PR01552,Fire Insurance,Factory,8285436,18182.0,Fire,Industrial,No,0
PR01553,Home Insurance,Factory,9863704,40382.66,Earthquake,Rural,No,5
PR01554,Home Insurance,Factory,4662602,29440.1,Flood,Coastal,No,2
PR01555,Fire Insurance,House,3157879,13669.87,Flood,Urban,Yes,3
PR01556,Home Insurance,House,9480170,35908.36,Fire,Rural,No,3
PR01557,Fire Insurance,Shop,3221851,16822.15,Theft,Urban,Yes,4
PR01558,Home Insurance,House,2336983,14696.08,Flood,Industrial,Yes,1
PR01559,Fire Insurance,Factory,9001927,81056.8,Earthquake,Industrial,No,2
PR01560,Home Insurance,House,6754941,22754.82,Flood,Coastal,No,4
PR01561,Home Insurance,Factory,5705214,54283.73,Theft,Coastal,No,2
PR01562,Fire Insurance,House,3783398,12266.66,Fire,Industrial,No,1
PR01563,Home Insurance,Apartment,8618529,28458.82,Theft,Rural,No,3
PR01564,Home Insurance,House,8339681,57111.0,Flood,Rural,No,0
PR01565,Fire Insurance,House,4666631,31685.23,Fire,Industrial,No,3
PR01566,Fire Insurance,Factory,4913661,13293.17,Theft,Urban,No,4
PR01567,Theft Insurance,Factory,6245237,54511.85,Theft,Rural,No,5
PR01568,Home Insurance,Shop,9013913,70738.0,Flood,Coastal,No,0
PR01569,Theft Insurance,Apartment,1778259,6964.8,Flood,Rural,No,4
PR01570,Fire Insurance,Apartment,2604924,7458.78,Fire,Rural,Yes,1
PR01571,Fire Insurance,Warehouse,3860312,26928.0,Theft,Urban,No,0
PR01572,Fire Insurance,Warehouse,1943306,14376.03,Fire,Coastal,Yes,4
PR01573,Home Insurance,Apartment,3938491,35434.84,Earthquake,Urban,No,1
PR01574,Fire Insurance,Shop,484184,4153.48,Flood,Coastal,Yes,3
PR01575,Home Insurance,Factory,3414522,8706.57,Fire,Urban,No,5
PR01576,Home Insurance,Shop,3402148,7435.26,Fire,Coastal,No,1
PR01577,Home Insurance,Factory,1022901,4676.19,Theft,Coastal,No,2
PR01578,Theft Insurance,Apartment,6396427,12815.46,Theft,Rural,No,1
PR01579,Home Insurance,Factory,749594,3214.4,Theft,Industrial,No,1
PR01580,Home Insurance,Factory,3175568,28146.29,Flood,Urban,No,5
PR01581,Home Insurance,Shop,6802835,39934.39,Theft,Coastal,No,2
PR01582,Home Insurance,Shop,2136137,19527.46,Fire,Coastal,No,4
PR01583,Theft Insurance,Shop,5496140,26872.27,Theft,Coastal,No,4
PR01584,Home Insurance,Factory,7999599,66770.34,Theft,Rural,Yes,1
PR01585,Home Insurance,Factory,9278234,53420.33,Fire,Industrial,No,2
PR01586,Theft Insurance,Apartment,7699772,23875.54,Theft,Coastal,No,2
PR01587,Home Insurance,Factory,501262,1815.98,Theft,Industrial,No,5
PR01588,Home Insurance,House,5012346,14415.3,Earthquake,Industrial,Yes,3
PR01589,Home Insurance,Apartment,8720752,58181.14,Theft,Rural,No,4
PR01590,Theft Insurance,Shop,7484313,43897.11,Earthquake,Coastal,Yes,5
PR01591,Home Insurance,Apartment,1516605,3985.0,Earthquake,Coastal,Yes,0
PR01592,Home Insurance,Apartment,2791746,19310.7,Earthquake,Coastal,No,4
PR01593,Fire Insurance,Factory,8305835,36362.93,Fire,Industrial,No,5
PR01594,Home Insurance,Factory,3035202,24072.89,Theft,Industrial,No,4
PR01595,Home Insurance,House,2078982,17237.93,Theft,Coastal,Yes,3
PR01596,Home Insurance,House,8005763,42997.0,Flood,Industrial,No,0
PR01597,Home Insurance,Warehouse,6623832,24654.52,Fire,Rural,No,3
PR01598,Home Insurance,Factory,4269912,31919.0,Fire,Urban,Yes,0
PR01599,Theft Insurance,Shop,6451827,14421.68,Earthquake,Rural,No,1
PR01600,Home Insurance,Warehouse,7669268,27520.77,Flood,Urban,No,5
PR01601,Theft Insurance,House,1023316,3019.0,Theft,Coastal,No,0
PR01602,Home Insurance,Factory,619676,4500.78,Flood,Rural,No,3
PR01603,Theft Insurance,Warehouse,1815877,15202.47,Theft,Coastal,Yes,4
PR01604,Fire Insurance,House,1978897,12940.0,Earthquake,Coastal,Yes,0
PR01605,Home Insurance,Apartment,6003169,48203.38,Flood,Urban,No,5
PR01606,Home Insurance,Warehouse,6213291,42829.0,Theft,Coastal,No,0
PR01607,Theft Insurance,House,2199422,4400.55,Flood,Industrial,Yes,2
PR01608,Fire Insurance,House,1114227,5036.13,Flood,Urban,No,4
PR01609,Theft Insurance,Factory,2585948,11633.46,Theft,Urban,Yes,5
PR01610,Theft Insurance,Warehouse,9936027,68701.6,Flood,Rural,No,5
PR01611,Fire Insurance,Factory,6932384,58356.06,Theft,Industrial,Yes,1
PR01612,Theft Insurance,Apartment,8933777,72805.91,Fire,Industrial,Yes,3
PR01613,Theft Insurance,Warehouse,9946748,40726.84,Earthquake,Urban,Yes,1
PR01614,Theft Insurance,Shop,3836715,32559.23,Theft,Rural,Yes,5
PR01615,Theft Insurance,House,3250822,24362.51,Earthquake,Urban,Yes,4
PR01616,Fire Insurance,Factory,4635897,30908.0,Flood,Coastal,Yes,0
PR01617,Home Insurance,Factory,5108433,43397.0,Flood,Industrial,No,0
PR01618,Fire Insurance,Warehouse,9872104,20043.06,Flood,Urban,No,4
PR01619,Home Insurance,Factory,3448576,22318.71,Flood,Industrial,No,5
PR01620,Home Insurance,Factory,3168447,13724.0,Theft,Rural,No,0
PR01621,Home Insurance,Shop,4070337,10145.0,Theft,Urban,No,0
PR01622,Fire Insurance,Warehouse,1345888,12175.0,Fire,Coastal,No,0
PR01623,Home Insurance,Apartment,4375173,14945.19,Theft,Industrial,No,3
PR01624,Theft Insurance,Warehouse,7547842,47053.01,Earthquake,Urban,No,3
PR01625,Fire Insurance,Apartment,8853323,59847.33,Flood,Coastal,No,2
PR01626,Home Insurance,Apartment,6514615,15368.36,Flood,Urban,Yes,1
PR01627,Fire Insurance,House,7417899,63321.5,Flood,Coastal,Yes,4
PR01628,Theft Insurance,House,9433808,60261.08,Flood,Coastal,No,4
PR01629,Home Insurance,Apartment,1644356,14167.57,Fire,Coastal,Yes,4
PR01630,Fire Insurance,House,434375,2021.64,Fire,Coastal,No,2
PR01631,Home Insurance,Apartment,1950617,12828.45,Flood,Urban,Yes,3
PR01632,Fire Insurance,Factory,9657319,17781.93,Earthquake,Urban,Yes,5
PR01633,Home Insurance,Apartment,8428286,65931.98,Flood,Coastal,No,5
PR01634,Home Insurance,House,9409570,46523.7,Flood,Urban,No,2
PR01635,Fire Insurance,Apartment,7939836,52917.33,Theft,Industrial,No,5
PR01636,Home Insurance,House,2198865,8325.3,Fire,Urban,No,4
PR01637,Theft Insurance,Factory,6526407,33581.66,Fire,Industrial,Yes,1
PR01638,Fire Insurance,Factory,7416594,20912.0,Flood,Urban,No,0
PR01639,Fire Insurance,Apartment,5372452,35930.95,Earthquake,Industrial,Yes,3
PR01640,Home Insurance,House,3100999,8530.02,Flood,Urban,No,3
PR01641,Theft Insurance,Shop,4374463,39238.1,Earthquake,Industrial,No,2
PR01642,Home Insurance,Shop,7106823,46459.12,Flood,Rural,Yes,3
PR01643,Home Insurance,Warehouse,6486447,42057.22,Fire,Rural,No,4
PR01644,Fire Insurance,Warehouse,7680991,19219.16,Flood,Industrial,No,5
PR01645,Fire Insurance,Apartment,3924681,16619.23,Theft,Rural,Yes,4
PR01646,Theft Insurance,House,6885066,49852.44,Theft,Rural,No,2
PR01647,Fire Insurance,Warehouse,987626,4809.23,Theft,Rural,No,4
PR01648,Fire Insurance,Apartment,5282896,45591.05,Flood,Urban,No,5
PR01649,Theft Insurance,Shop,7253794,42413.42,Fire,Urban,No,1
PR01650,Fire Insurance,House,7207842,47224.79,Earthquake,Coastal,No,2
PR01651,Home Insurance,House,4733417,39112.78,Fire,Industrial,No,1
PR01652,Fire Insurance,Shop,7251343,15575.0,Theft,Rural,No,0
PR01653,Fire Insurance,Factory,4685169,24249.12,Fire,Industrial,No,1
PR01654,Home Insurance,House,494281,3896.0,Theft,Urban,No,0
PR01655,Home Insurance,Shop,8848765,41447.0,Flood,Coastal,No,0
PR01656,Fire Insurance,Apartment,1202165,4439.4,Flood,Industrial,No,1
PR01657,Fire Insurance,Warehouse,2440914,15121.5,Fire,Coastal,No,2
PR01658,Fire Insurance,Warehouse,6465578,37549.77,Theft,Urban,No,5
PR01659,Fire Insurance,Shop,1763623,7662.11,Earthquake,Coastal,No,4
PR01660,Home Insurance,Warehouse,1167570,8176.79,Theft,Urban,No,4
PR01661,Fire Insurance,Shop,8207762,16631.24,Flood,Coastal,No,5
PR01662,Home Insurance,Warehouse,777737,3751.0,Earthquake,Industrial,Yes,0
PR01663,Theft Insurance,Factory,6149708,39226.0,Fire,Coastal,No,0
PR01664,Theft Insurance,Factory,4294698,10513.5,Flood,Coastal,Yes,2
PR01665,Home Insurance,House,522115,3528.53,Earthquake,Industrial,No,3
PR01666,Theft Insurance,Apartment,5029586,33394.48,Fire,Coastal,No,1
PR01667,Theft Insurance,Warehouse,6730511,48342.0,Flood,Coastal,No,0
PR01668,Theft Insurance,Warehouse,953522,7197.24,Flood,Rural,No,4
PR01669,Theft Insurance,Apartment,4008819,16793.55,Earthquake,Coastal,No,2
PR01670,Home Insurance,Shop,1569627,10768.24,Fire,Urban,No,1
PR01671,Home Insurance,Factory,2408530,10127.42,Flood,Urban,No,2
PR01672,Fire Insurance,Shop,2191474,4663.82,Earthquake,Coastal,No,1
PR01673,Theft Insurance,Factory,7892047,35296.66,Fire,Urban,No,1
PR01674,Home Insurance,Apartment,364971,3189.94,Fire,Rural,No,5
PR01675,Theft Insurance,Shop,8193506,30592.0,Fire,Rural,No,0
PR01676,Home Insurance,Shop,5402123,26380.27,Fire,Coastal,No,2
PR01677,Fire Insurance,Shop,9330428,29968.32,Earthquake,Coastal,Yes,2
PR01678,Fire Insurance,Warehouse,1018248,7478.14,Theft,Industrial,No,5
PR01679,Fire Insurance,House,8002194,36273.97,Theft,Rural,No,4
PR01680,Theft Insurance,Shop,7111931,32210.94,Fire,Coastal,Yes,4
PR01681,Theft Insurance,House,8680051,51040.0,Fire,Coastal,No,0
PR01682,Home Insurance,Factory,7118846,57155.0,Earthquake,Urban,No,0
PR01683,Theft Insurance,Factory,1324939,5009.97,Theft,Urban,Yes,3
PR01684,Home Insurance,Apartment,4239773,20489.17,Flood,Coastal,No,5
PR01685,Home Insurance,House,7264173,39767.9,Flood,Urban,No,4
PR01686,Theft Insurance,Factory,303288,1764.0,Fire,Urban,No,1
PR01687,Home Insurance,Shop,1374085,7002.28,Theft,Rural,Yes,2
PR01688,Home Insurance,Apartment,7182686,35097.0,Theft,Industrial,Yes,0
PR01689,Home Insurance,Shop,2000026,13452.32,Flood,Coastal,No,2
PR01690,Home Insurance,Warehouse,9420258,38824.17,Flood,Rural,No,2
PR01691,Fire Insurance,Shop,1984424,9281.09,Fire,Industrial,No,3
PR01692,Home Insurance,House,6468163,59231.72,Theft,Industrial,No,4
PR01693,Home Insurance,Warehouse,7063684,40995.0,Earthquake,Coastal,No,0
PR01694,Home Insurance,Apartment,3933425,29721.5,Theft,Industrial,Yes,2
PR01695,Fire Insurance,Shop,1134509,9647.0,Theft,Urban,Yes,0
PR01696,Fire Insurance,Warehouse,4423767,42919.1,Fire,Urban,Yes,1
PR01697,Home Insurance,House,1947535,5898.45,Fire,Urban,No,3
PR01698,Home Insurance,House,9414680,47420.24,Fire,Rural,No,1
PR01699,Fire Insurance,Apartment,9483985,36999.0,Earthquake,Rural,No,0
PR01700,Theft Insurance,Factory,6163038,19522.0,Fire,Industrial,No,0
PR01701,Fire Insurance,House,8501557,68031.11,Fire,Coastal,No,4
PR01702,Fire Insurance,House,4215986,11524.8,Fire,Coastal,No,2
PR01703,Theft Insurance,Warehouse,4279487,25050.11,Earthquake,Rural,No,2
PR01704,Home Insurance,Warehouse,5352940,27040.16,Theft,Rural,No,1
PR01705,Home Insurance,Shop,4389778,24548.17,Fire,Coastal,No,3
PR01706,Home Insurance,Shop,297119,2575.27,Flood,Rural,No,5
PR01707,Home Insurance,Warehouse,1210791,7816.7,Fire,Rural,No,2
PR01708,Home Insurance,House,2975021,5677.18,Fire,Rural,No,4
PR01709,Home Insurance,Warehouse,3901427,9356.06,Theft,Rural,Yes,1
PR01710,Home Insurance,House,8686946,23131.92,Theft,Urban,No,1
PR01711,Home Insurance,Apartment,5934334,37129.45,Theft,Urban,No,5
PR01712,Theft Insurance,House,1498623,7845.66,Theft,Coastal,No,4
PR01713,Theft Insurance,Apartment,4552528,41163.03,Theft,Urban,Yes,3
PR01714,Home Insurance,Factory,2742569,8114.07,Earthquake,Coastal,No,4
PR01715,Home Insurance,Apartment,2648076,6019.86,Earthquake,Rural,No,3
PR01716,Theft Insurance,Warehouse,6442715,44560.53,Fire,Urban,No,4
PR01717,Home Insurance,Apartment,5969674,48165.14,Flood,Urban,No,4
PR01718,Fire Insurance,Shop,1524636,14624.0,Earthquake,Industrial,No,0
PR01719,Home Insurance,Apartment,3965521,23258.34,Fire,Rural,Yes,1
PR01720,Fire Insurance,Apartment,821931,6064.57,Flood,Rural,No,4
PR01721,Fire Insurance,Factory,8270680,18159.77,Earthquake,Industrial,No,5
PR01722,Home Insurance,Apartment,6055249,27611.09,Fire,Coastal,No,4
PR01723,Fire Insurance,Warehouse,5431836,32469.2,Earthquake,Coastal,Yes,2
PR01724,Fire Insurance,Factory,2098539,14874.44,Earthquake,Coastal,Yes,1
