Policy_ID,Sub_Type,Asset_Type,Annual_Premium,Coverage_Amount,Risk_Factor,Claim_Status,No_Claim_Years
S01481,Gadget Insurance,Dog,27068.58,552420,Theft,Yes,1
S01482,Gadget Insurance,Cat,7482.3,53445,Health,Yes,1
S01483,Crop Insurance,Data,14415.69,78145,Hacking,Yes,4
S01484,Crop Insurance,Agriculture,48298.0,724470,Theft,No,0
S01485,Crop Insurance,Laptop,36378.0,945828,Weather,No,0
S01486,Gadget Insurance,Cat,38733.0,232398,Health,No,0
S01487,Pet Insurance,Laptop,6900.0,241500,Weather,Yes,0
S01488,Gadget Insurance,Dog,3123.0,59337,Hacking,No,0
S01489,Pet Insurance,Cat,5893.01,83057,Health,No,4
S01490,Pet Insurance,Cat,32765.97,204702,Health,No,2
S01491,Cyber Insurance,Data,3072.3,25080,Health,No,1
S01492,Pet Insurance,Agriculture,16054.0,208702,Weather,Yes,0
S01493,Gadget Insurance,Data,40287.82,587286,Hacking,No,2
S01494,Cyber Insurance,Agriculture,41799.49,435230,Damage,Yes,2
S01495,Cyber Insurance,Laptop,19371.66,731379,Theft,Yes,1
S01496,Crop Insurance,Agriculture,14896.25,629850,Weather,No,4
S01497,Cyber Insurance,Mobile,37569.56,199585,Damage,Yes,3
S01498,Pet Insurance,Dog,9845.81,251064,Damage,No,3
S01499,Crop Insurance,Dog,41188.67,343096,Weather,No,2
S01500,Crop Insurance,Mobile,27094.12,149870,Hacking,No,5
S01501,Gadget Insurance,Agriculture,15232.87,623524,Damage,Yes,5
S01502,Crop Insurance,Cat,17245.06,563104,Health,Yes,1
S01503,Gadget Insurance,Cat,41958.34,1292820,Theft,No,3
S01504,Cyber Insurance,Cat,43646.34,499906,Health,No,2
S01505,Crop Insurance,Mobile,12947.28,336888,Damage,Yes,4
S01506,Crop Insurance,Cat,7444.83,134470,Health,No,3
S01507,Cyber Insurance,Agriculture,27623.99,488971,Hacking,Yes,2
S01508,Gadget Insurance,Data,24301.0,759090,Health,Yes,2
S01509,Pet Insurance,Cat,21174.0,423480,Hacking,No,0
S01510,Cyber Insurance,Laptop,43762.68,806582,Hacking,No,4
S01511,Crop Insurance,Mobile,46319.0,602147,Theft,Yes,0
S01512,Crop Insurance,Agriculture,47687.78,1897779,Theft,No,1
S01513,Pet Insurance,Agriculture,46722.0,747552,Health,No,0
S01514,Gadget Insurance,Agriculture,2001.0,68034,Theft,No,0
S01515,Crop Insurance,Laptop,35304.11,450120,Weather,Yes,3
S01516,Gadget Insurance,Agriculture,33077.17,1317348,Damage,No,5
S01517,Cyber Insurance,Laptop,13845.13,115328,Damage,No,2
S01518,Gadget Insurance,Cat,36151.3,509522,Weather,No,4
S01519,Cyber Insurance,Agriculture,21861.0,306054,Hacking,Yes,0
S01520,Cyber Insurance,Laptop,21566.81,888516,Hacking,No,4
S01521,Crop Insurance,Mobile,1769.88,62656,Health,Yes,5
S01522,Gadget Insurance,Laptop,34189.0,340407,Health,No,5
S01523,Gadget Insurance,Mobile,19540.0,156320,Theft,No,0
S01524,Crop Insurance,Dog,28790.44,440670,Health,Yes,1
S01525,Pet Insurance,Dog,18710.0,299360,Theft,Yes,0
S01526,Cyber Insurance,Dog,39027.47,497592,Theft,No,3
S01527,Gadget Insurance,Laptop,42610.07,221835,Health,Yes,2
S01528,Pet Insurance,Data,39304.86,401070,Health,No,1
S01529,Crop Insurance,Laptop,5446.0,114366,Weather,Yes,0
S01530,Crop Insurance,Agriculture,43314.41,939200,Health,No,4
S01531,Gadget Insurance,Data,13801.34,394324,Damage,Yes,1
S01532,Crop Insurance,Agriculture,17967.32,458350,Hacking,No,1
S01533,Pet Insurance,Mobile,5872.0,199648,Theft,Yes,0
S01534,Gadget Insurance,Dog,27720.28,707150,Damage,No,1
S01535,Pet Insurance,Dog,41540.69,1711406,Hacking,No,4
S01536,Cyber Insurance,Agriculture,38988.82,1207724,Damage,No,5
S01537,Cyber Insurance,Data,47648.58,1069662,Health,No,1
S01538,Gadget Insurance,Dog,41163.65,546468,Theft,No,5
S01539,Gadget Insurance,Mobile,6005.54,97665,Hacking,Yes,4
S01540,Pet Insurance,Dog,7148.0,92924,Health,Yes,0
S01541,Cyber Insurance,Agriculture,42086.65,1007906,Hacking,No,2
S01542,Pet Insurance,Cat,20978.86,620803,Hacking,No,1
S01543,Crop Insurance,Laptop,14274.43,118904,Health,No,2
S01544,Pet Insurance,Cat,24805.25,295823,Theft,Yes,4
S01545,Pet Insurance,Agriculture,31724.56,809300,Weather,No,1
S01546,Crop Insurance,Laptop,42888.33,996387,Health,No,5
S01547,Cyber Insurance,Dog,28579.3,303650,Weather,No,3
S01548,Cyber Insurance,Mobile,13082.57,95354,Hacking,No,2
S01549,Gadget Insurance,Dog,30471.14,435302,Weather,No,1
S01550,Gadget Insurance,Dog,47171.97,1031457,Hacking,No,2
S01551,Pet Insurance,Mobile,28305.34,664309,Theft,Yes,1
S01552,Crop Insurance,Data,41600.0,208000,Damage,No,0
S01553,Pet Insurance,Mobile,33234.46,551505,Damage,No,5
S01554,Cyber Insurance,Laptop,38151.89,1271200,Theft,No,2
S01555,Crop Insurance,Mobile,25694.54,546000,Health,Yes,3
S01556,Pet Insurance,Dog,43835.08,326018,Theft,No,3
S01557,Gadget Insurance,Agriculture,20370.5,154595,Hacking,No,4
S01558,Gadget Insurance,Data,21489.44,438560,Theft,Yes,1
S01559,Cyber Insurance,Data,40245.56,1592390,Weather,No,2
S01560,Crop Insurance,Mobile,19845.67,215160,Health,No,4
S01561,Crop Insurance,Dog,13824.0,374244,Theft,No,2
S01562,Pet Insurance,Data,25002.74,739877,Theft,Yes,1
S01563,Cyber Insurance,Dog,10017.11,266075,Weather,No,3
S01564,Pet Insurance,Mobile,1217.0,42595,Hacking,No,0
S01565,Cyber Insurance,Cat,7628.36,137785,Hacking,No,3
S01566,Cyber Insurance,Dog,6342.2,171900,Hacking,No,4
S01567,Cyber Insurance,Agriculture,11088.4,159471,Hacking,No,5
S01568,Gadget Insurance,Agriculture,34133.0,1297054,Theft,No,0
S01569,Cyber Insurance,Data,17935.45,136115,Theft,No,4
S01570,Cyber Insurance,Laptop,4761.82,174924,Hacking,No,1
S01571,Pet Insurance,Agriculture,11710.0,421560,Damage,Yes,0
S01572,Cyber Insurance,Dog,9485.63,174828,Health,No,4
S01573,Gadget Insurance,Agriculture,5370.4,115080,Weather,Yes,1
S01574,Pet Insurance,Agriculture,24080.4,895475,Damage,No,3
S01575,Crop Insurance,Mobile,4254.76,98847,Hacking,No,5
S01576,Pet Insurance,Dog,11999.12,122440,Damage,No,1
S01577,Crop Insurance,Laptop,9250.57,115584,Damage,No,2
S01578,Cyber Insurance,Dog,21203.28,692352,Damage,Yes,1
S01579,Pet Insurance,Cat,42135.1,1676805,Theft,Yes,1
S01580,Pet Insurance,Laptop,6781.21,210056,Damage,No,5
S01581,Crop Insurance,Data,22323.54,418392,Theft,No,2
S01582,Crop Insurance,Data,11187.4,109161,Weather,Yes,4
S01583,Crop Insurance,Cat,16363.73,408043,Weather,Yes,4
S01584,Gadget Insurance,Mobile,5415.48,143676,Health,No,1
S01585,Pet Insurance,Mobile,16072.29,635930,Damage,Yes,2
S01586,Pet Insurance,Cat,27214.85,793436,Weather,Yes,2
S01587,Pet Insurance,Agriculture,29428.95,553469,Hacking,No,5
S01588,Pet Insurance,Dog,45301.45,1829016,Health,No,3
S01589,Pet Insurance,Dog,40597.11,748238,Hacking,No,4
S01590,Pet Insurance,Laptop,36339.42,1165858,Health,Yes,5
S01591,Cyber Insurance,Mobile,5041.0,141148,Health,No,0
S01592,Cyber Insurance,Agriculture,32766.21,1136768,Weather,Yes,4
S01593,Gadget Insurance,Mobile,19028.44,526275,Weather,No,5
S01594,Gadget Insurance,Laptop,34678.28,601552,Theft,No,4
S01595,Crop Insurance,Cat,4415.13,140730,Theft,No,3
S01596,Crop Insurance,Mobile,13998.0,223968,Theft,Yes,0
S01597,Crop Insurance,Dog,27139.27,720875,Health,No,3
S01598,Pet Insurance,Laptop,24656.0,320528,Health,Yes,0
S01599,Gadget Insurance,Cat,6012.3,104295,Theft,No,1
S01600,Pet Insurance,Mobile,21740.2,505071,Hacking,No,5
S01601,Crop Insurance,Agriculture,27687.0,581427,Theft,No,0
S01602,Crop Insurance,Data,44663.33,284724,Weather,No,3
S01603,Pet Insurance,Agriculture,14295.78,170489,Health,No,4
S01604,Cyber Insurance,Laptop,27913.0,586173,Damage,Yes,0
S01605,Gadget Insurance,Dog,8191.33,126868,Weather,Yes,5
S01606,Pet Insurance,Dog,19586.0,626752,Hacking,No,0
S01607,Pet Insurance,Dog,4152.77,155664,Weather,No,2
S01608,Pet Insurance,Laptop,31735.0,1273022,Damage,No,4
S01609,Crop Insurance,Laptop,19824.79,701824,Theft,No,5
S01610,Crop Insurance,Data,24820.76,494262,Health,No,5
S01611,Pet Insurance,Agriculture,46267.76,1274724,Health,No,1
S01612,Crop Insurance,Cat,40773.38,1039704,Hacking,No,3
S01613,Gadget Insurance,Cat,41750.94,213015,Weather,No,1
S01614,Crop Insurance,Agriculture,39360.33,1480496,Damage,Yes,5
S01615,Cyber Insurance,Data,16743.75,272295,Theft,No,4
S01616,Pet Insurance,Laptop,36338.0,944788,Damage,No,0
S01617,Gadget Insurance,Dog,14098.0,183274,Damage,No,0
S01618,Pet Insurance,Agriculture,27597.26,1017280,Weather,Yes,4
S01619,Gadget Insurance,Data,3597.6,75620,Damage,Yes,5
S01620,Crop Insurance,Dog,28571.0,428565,Hacking,Yes,0
S01621,Cyber Insurance,Mobile,11656.0,314712,Damage,No,0
S01622,Gadget Insurance,Agriculture,7625.0,297375,Health,No,0
S01623,Cyber Insurance,Mobile,7950.25,304092,Health,No,3
S01624,Cyber Insurance,Mobile,20117.04,427480,Weather,No,3
S01625,Gadget Insurance,Dog,9980.48,259800,Hacking,No,2
S01626,Cyber Insurance,Agriculture,27880.02,682776,Theft,No,1
S01627,Cyber Insurance,Dog,1595.7,27680,Theft,Yes,4
S01628,Gadget Insurance,Data,37463.83,1380978,Weather,No,4
S01629,Pet Insurance,Mobile,34168.21,1259496,Theft,No,4
S01630,Gadget Insurance,Laptop,7062.78,154434,Weather,No,2
S01631,Crop Insurance,Agriculture,14342.82,457170,Theft,Yes,3
S01632,Gadget Insurance,Laptop,13911.34,384750,Weather,No,5
S01633,Cyber Insurance,Data,21302.7,801278,Weather,No,5
S01634,Crop Insurance,Cat,21936.5,456820,Damage,No,2
S01635,Gadget Insurance,Dog,7920.15,236574,Damage,No,5
S01636,Gadget Insurance,Laptop,17924.38,680155,Weather,Yes,4
S01637,Cyber Insurance,Data,48537.44,1535368,Theft,Yes,1
S01638,Crop Insurance,Dog,16587.0,514197,Health,Yes,0
S01639,Gadget Insurance,Cat,35402.94,1429370,Health,No,3
S01640,Pet Insurance,Data,40496.67,473297,Weather,No,3
S01641,Cyber Insurance,Laptop,45929.21,334761,Hacking,No,2
S01642,Gadget Insurance,Agriculture,23314.27,346794,Theft,Yes,3
S01643,Gadget Insurance,Mobile,31687.04,515310,Hacking,No,4
S01644,Gadget Insurance,Laptop,39175.93,216700,Health,No,5
S01645,Crop Insurance,Mobile,11288.86,244780,Health,No,4
S01646,Gadget Insurance,Cat,23160.05,916370,Damage,Yes,2
S01647,Cyber Insurance,Cat,12088.56,170378,Theft,No,4
S01648,Crop Insurance,Dog,9728.9,150682,Weather,No,5
S01649,Gadget Insurance,Agriculture,45475.92,464040,Hacking,No,1
S01650,Gadget Insurance,Dog,26106.55,217464,Theft,No,2
S01651,Cyber Insurance,Data,12724.32,441456,Health,No,1
S01652,Crop Insurance,Dog,46158.0,1384740,Theft,No,0
S01653,Crop Insurance,Mobile,48708.94,1441387,Theft,Yes,1
S01654,Crop Insurance,Agriculture,43153.0,1337743,Hacking,Yes,0
S01655,Gadget Insurance,Mobile,23201.0,394417,Damage,No,0
S01656,Gadget Insurance,Mobile,13106.52,267480,Damage,No,1
S01657,Gadget Insurance,Laptop,45525.84,1469493,Damage,Yes,2
S01658,Gadget Insurance,Cat,24572.18,462128,Hacking,No,5
S01659,Gadget Insurance,Dog,45789.12,1936077,Damage,No,4
S01660,Pet Insurance,Mobile,28089.8,182724,Weather,No,4
S01661,Pet Insurance,Laptop,21061.35,629100,Weather,No,5
S01662,Cyber Insurance,Agriculture,41333.0,289331,Health,No,0
S01663,Crop Insurance,Dog,9007.0,63049,Health,Yes,0
S01664,Pet Insurance,Laptop,10040.02,167264,Weather,No,2
S01665,Gadget Insurance,Mobile,33511.14,1032545,Damage,No,3
S01666,Gadget Insurance,Laptop,13607.3,333240,Hacking,No,1
S01667,Gadget Insurance,Data,25112.0,200896,Weather,No,0
S01668,Pet Insurance,Dog,15851.82,85930,Weather,Yes,4
S01669,Gadget Insurance,Cat,25302.7,342498,Damage,No,2
S01670,Crop Insurance,Data,36450.12,967044,Health,Yes,1
S01671,Cyber Insurance,Mobile,26469.58,523659,Weather,Yes,2
S01672,Pet Insurance,Laptop,5062.68,149814,Health,No,1
S01673,Crop Insurance,Dog,12661.6,129200,Damage,No,1
S01674,Cyber Insurance,Laptop,34840.72,963600,Hacking,No,5
S01675,Crop Insurance,Data,25160.0,729640,Hacking,No,0
S01676,Gadget Insurance,Laptop,21328.56,333120,Weather,Yes,2
S01677,Pet Insurance,Dog,45716.0,428409,Theft,No,2
S01678,Crop Insurance,Cat,18078.42,300000,Damage,Yes,5
S01679,Gadget Insurance,Agriculture,39844.46,1123148,Hacking,No,4
S01680,Gadget Insurance,Dog,14160.2,214928,Theft,No,4
S01681,Gadget Insurance,Agriculture,9838.0,177084,Hacking,Yes,0
S01682,Pet Insurance,Mobile,38290.0,1225280,Theft,No,0
S01683,Gadget Insurance,Data,3633.0,142820,Health,Yes,3
S01684,Gadget Insurance,Laptop,16087.08,373737,Theft,No,5
S01685,Cyber Insurance,Dog,26112.24,934230,Theft,No,4
S01686,Crop Insurance,Laptop,11025.98,427538,Theft,Yes,1
S01687,Cyber Insurance,Data,16929.93,141024,Damage,No,2
S01688,Gadget Insurance,Data,28652.0,143260,Weather,No,0
S01689,Gadget Insurance,Laptop,13494.58,266969,Damage,No,2
S01690,Pet Insurance,Agriculture,44849.72,373592,Weather,Yes,2
S01691,Cyber Insurance,Laptop,25919.49,605858,Weather,Yes,3
S01692,Cyber Insurance,Agriculture,29677.2,257400,Damage,No,4
S01693,Cyber Insurance,Dog,25061.0,501220,Health,Yes,0
S01694,Crop Insurance,Agriculture,16417.08,410256,Health,Yes,2
S01695,Cyber Insurance,Laptop,31349.0,501584,Theft,Yes,0
S01696,Crop Insurance,Cat,24084.48,884736,Damage,No,1
S01697,Pet Insurance,Data,44964.51,1528768,Hacking,No,3
S01698,Gadget Insurance,Laptop,32978.96,1278776,Weather,No,1
S01699,Cyber Insurance,Dog,6616.0,105856,Hacking,No,0
S01700,Gadget Insurance,Cat,17610.0,352200,Weather,Yes,0
S01701,Pet Insurance,Data,41500.11,674895,Hacking,No,4
S01702,Gadget Insurance,Dog,47634.88,446391,Hacking,Yes,2
S01703,Crop Insurance,Data,34034.66,850512,Damage,No,2
S01704,Pet Insurance,Cat,9833.32,381292,Hacking,No,1
S01705,Pet Insurance,Agriculture,34281.04,473499,Hacking,No,3
S01706,Cyber Insurance,Dog,34714.17,1344140,Damage,No,5
S01707,Pet Insurance,Laptop,7469.03,155540,Hacking,No,2
S01708,Cyber Insurance,Data,9332.52,374366,Damage,Yes,4
S01709,Gadget Insurance,Mobile,33275.9,271640,Damage,Yes,1
S01710,Crop Insurance,Agriculture,42386.96,1167804,Damage,Yes,1
S01711,Pet Insurance,Agriculture,19728.07,676575,Health,No,5
S01712,Gadget Insurance,Agriculture,27472.74,655270,Weather,Yes,4
S01713,Crop Insurance,Laptop,13582.34,360775,Weather,Yes,3
S01714,Pet Insurance,Agriculture,30538.69,463526,Theft,No,4
S01715,Pet Insurance,Dog,42730.12,1589000,Hacking,No,3
S01716,Crop Insurance,Data,9115.76,375554,Health,No,4
S01717,Crop Insurance,Data,43320.87,704505,Health,Yes,4
S01718,Crop Insurance,Mobile,19776.0,731712,Theft,No,0
S01719,Cyber Insurance,Cat,45166.24,599144,Hacking,No,1
S01720,Crop Insurance,Cat,28805.56,249840,Theft,No,4
S01721,Crop Insurance,Cat,12106.21,428576,Damage,No,5
S01722,Gadget Insurance,Dog,15157.28,98598,Damage,No,4
S01723,Pet Insurance,Cat,1306.14,6800,Hacking,No,2
S01724,Pet Insurance,Mobile,27163.64,304898,Damage,Yes,1
S01725,Crop Insurance,Data,7399.88,169510,Damage,Yes,2
S01726,Gadget Insurance,Laptop,39662.56,1416520,Health,Yes,1
S01727,Cyber Insurance,Cat,11406.67,59385,Hacking,No,2
S01728,Crop Insurance,Dog,4748.35,118404,Health,Yes,4
S01729,Gadget Insurance,Cat,31794.03,999630,Health,Yes,4
S01730,Cyber Insurance,Mobile,9811.0,58866,Weather,No,0
S01731,Cyber Insurance,Dog,21927.31,582192,Health,Yes,5
S01732,Gadget Insurance,Data,18337.88,706478,Theft,No,2
S01733,Pet Insurance,Agriculture,6007.63,51064,Theft,Yes,3
S01734,Crop Insurance,Data,48475.0,290850,Theft,No,0
S01735,Cyber Insurance,Data,34346.79,1287468,Weather,No,2
S01736,Cyber Insurance,Mobile,4863.47,131664,Health,No,2
S01737,Cyber Insurance,Dog,40473.0,1335609,Hacking,No,0
S01738,Crop Insurance,Agriculture,23389.41,152148,Hacking,No,4
S01739,Cyber Insurance,Mobile,27663.36,403256,Hacking,No,2
S01740,Crop Insurance,Data,23400.48,913320,Theft,No,4
S01741,Pet Insurance,Dog,8117.0,113638,Weather,Yes,0
S01742,Cyber Insurance,Cat,9112.08,138306,Damage,No,4
S01743,Pet Insurance,Dog,989.8,11110,Weather,No,1
S01744,Crop Insurance,Laptop,20603.63,853749,Hacking,Yes,3
S01745,Crop Insurance,Data,2060.06,81510,Hacking,No,2
S01746,Gadget Insurance,Laptop,14290.99,600780,Health,No,5
S01747,Cyber Insurance,Mobile,14919.78,110964,Theft,No,3
S01748,Pet Insurance,Cat,24859.67,619896,Theft,No,4
S01749,Crop Insurance,Agriculture,37544.92,1094604,Theft,No,2
S01750,Pet Insurance,Agriculture,29003.87,408785,Theft,No,4
S01751,Cyber Insurance,Cat,29495.06,150485,Health,No,1
S01752,Gadget Insurance,Mobile,48542.0,1165008,Health,No,0
S01753,Gadget Insurance,Data,12089.52,440580,Damage,Yes,2
S01754,Crop Insurance,Agriculture,37259.6,1292680,Damage,No,1
S01755,Pet Insurance,Mobile,46724.44,1144272,Hacking,Yes,1
S01756,Crop Insurance,Laptop,1641.32,29053,Health,No,2
S01757,Gadget Insurance,Laptop,29942.84,324630,Health,No,4
S01758,Gadget Insurance,Laptop,40648.41,1349070,Health,No,5
S01759,Pet Insurance,Dog,43764.84,1652346,Weather,No,1
S01760,Gadget Insurance,Data,14202.59,226350,Damage,No,3
S01761,Crop Insurance,Dog,23063.32,329476,Theft,No,1
S01762,Pet Insurance,Dog,21486.2,736870,Weather,No,5
S01763,Crop Insurance,Dog,35568.36,1079736,Health,Yes,4
S01764,Pet Insurance,Laptop,43574.52,1700712,Health,No,4
S01765,Pet Insurance,Data,27677.63,852803,Theft,No,3
S01766,Cyber Insurance,Agriculture,7188.3,220050,Hacking,No,1
S01767,Cyber Insurance,Dog,36240.77,275037,Weather,Yes,4
S01768,Pet Insurance,Dog,43050.13,1809788,Health,No,5
S01769,Cyber Insurance,Dog,12177.87,266280,Damage,Yes,2
S01770,Pet Insurance,Cat,27319.0,764932,Health,No,0
S01771,Gadget Insurance,Mobile,31414.0,753936,Health,No,0
S01772,Cyber Insurance,Dog,7265.0,254275,Health,No,0
S01773,Pet Insurance,Dog,18541.6,132440,Theft,No,1
S01774,Cyber Insurance,Data,15557.9,231420,Hacking,No,3
S01775,Pet Insurance,Agriculture,36979.58,1323036,Health,Yes,4
S01776,Pet Insurance,Agriculture,40148.56,1170512,Health,Yes,2
S01777,Crop Insurance,Laptop,12141.46,268640,Theft,No,5
S01778,Pet Insurance,Mobile,7978.04,157833,Damage,Yes,2
S01779,Crop Insurance,Data,38960.79,689632,Damage,No,5
S01780,Cyber Insurance,Cat,44308.74,271278,Weather,No,1
S01781,Gadget Insurance,Cat,12706.0,330356,Hacking,No,0
S01782,Gadget Insurance,Dog,34297.06,384967,Theft,No,1
S01783,Gadget Insurance,Mobile,36172.83,307464,Theft,No,3
S01784,Crop Insurance,Mobile,14564.01,588012,Theft,No,3
S01785,Cyber Insurance,Laptop,9222.7,51015,Health,No,5
S01786,Pet Insurance,Laptop,2298.54,92204,Weather,Yes,4
S01787,Pet Insurance,Data,32982.04,321822,Health,No,4
S01788,Crop Insurance,Cat,16228.09,646308,Theft,Yes,5
S01789,Cyber Insurance,Laptop,9776.16,135031,Damage,No,3
S01790,Gadget Insurance,Cat,45381.45,1784029,Hacking,Yes,3
S01791,Gadget Insurance,Data,33414.2,958554,Weather,Yes,3
S01792,Cyber Insurance,Mobile,25470.2,545790,Weather,No,1
S01793,Pet Insurance,Cat,18409.72,489000,Damage,Yes,3
S01794,Gadget Insurance,Cat,21659.9,699143,Weather,No,2
S01795,Crop Insurance,Mobile,34181.0,1127973,Weather,No,0
S01796,Gadget Insurance,Mobile,46355.59,640276,Weather,No,3
S01797,Crop Insurance,Dog,30828.22,1023150,Hacking,No,5
S01798,Cyber Insurance,Dog,46292.0,1342468,Damage,Yes,0
S01799,Crop Insurance,Dog,43769.74,759271,Damage,No,1
S01800,Cyber Insurance,Agriculture,26640.35,766272,Theft,No,5
S01801,Crop Insurance,Laptop,26964.0,539280,Theft,No,0
S01802,Gadget Insurance,Cat,44823.62,1785168,Health,No,5
S01803,Crop Insurance,Dog,18534.74,548477,Health,Yes,1
S01804,Cyber Insurance,Laptop,15102.29,314500,Health,Yes,2
S01805,Gadget Insurance,Cat,34870.36,996296,Weather,No,1
S01806,Crop Insurance,Laptop,46563.72,332598,Theft,No,1
S01807,Gadget Insurance,Dog,14465.44,624117,Weather,No,5
S01808,Gadget Insurance,Data,18648.44,222398,Hacking,No,4
S01809,Crop Insurance,Laptop,28764.71,275058,Health,No,3
S01810,Pet Insurance,Laptop,17757.47,396207,Hacking,No,3
S01811,Cyber Insurance,Cat,30703.99,895160,Theft,No,2
S01812,Crop Insurance,Laptop,3869.45,32232,Damage,No,2
S01813,Pet Insurance,Cat,7333.77,187008,Health,No,3
S01814,Gadget Insurance,Agriculture,41017.71,1511980,Hacking,Yes,4
S01815,Cyber Insurance,Mobile,2873.46,82431,Health,Yes,3
S01816,Gadget Insurance,Data,35594.19,308720,Hacking,No,4
S01817,Gadget Insurance,Dog,2487.44,72520,Health,No,2
S01818,Crop Insurance,Data,20386.0,591194,Health,No,0
S01819,Cyber Insurance,Cat,10375.2,378774,Damage,No,5
S01820,Cyber Insurance,Agriculture,41795.65,609266,Weather,No,2
S01821,Gadget Insurance,Laptop,2786.12,14505,Hacking,No,2
S01822,Cyber Insurance,Laptop,39938.92,1222620,Theft,No,1
S01823,Gadget Insurance,Mobile,12764.5,390750,Hacking,No,1
S01824,Gadget Insurance,Agriculture,41122.76,461582,Theft,Yes,1
S01825,Pet Insurance,Data,15507.67,223028,Hacking,No,5
S01826,Pet Insurance,Laptop,40166.28,1557468,Health,No,1
S01827,Pet Insurance,Mobile,35952.07,1403208,Health,No,4
S01828,Pet Insurance,Mobile,35750.24,455808,Health,Yes,3
S01829,Crop Insurance,Cat,19507.0,643731,Damage,No,0
S01830,Gadget Insurance,Dog,31727.77,1090188,Damage,No,2
S01831,Cyber Insurance,Mobile,9657.19,293160,Theft,Yes,4
S01832,Gadget Insurance,Data,24758.0,148548,Weather,No,0
S01833,Cyber Insurance,Mobile,4157.11,130703,Hacking,No,4
S01834,Cyber Insurance,Data,43215.72,1452443,Health,No,4
S01835,Cyber Insurance,Laptop,29888.61,902509,Damage,Yes,2
S01836,Gadget Insurance,Mobile,30076.73,255648,Weather,No,3
S01837,Gadget Insurance,Agriculture,6307.28,160900,Weather,No,1
S01838,Gadget Insurance,Agriculture,6599.53,175224,Damage,No,5
S01839,Cyber Insurance,Agriculture,20412.57,433760,Weather,No,3
S01840,Gadget Insurance,Laptop,37739.6,709767,Theft,No,5
S01841,Cyber Insurance,Data,39141.1,1548690,Theft,No,2
S01842,Gadget Insurance,Data,29480.44,982272,Theft,No,2
S01843,Cyber Insurance,Dog,38099.07,872740,Damage,Yes,2
S01844,Gadget Insurance,Laptop,23725.0,403325,Weather,Yes,0
S01845,Crop Insurance,Mobile,30122.26,933072,Health,Yes,5
S01846,Crop Insurance,Agriculture,7033.53,89676,Damage,No,3
S01847,Cyber Insurance,Laptop,3961.48,113643,Health,No,3
S01848,Gadget Insurance,Dog,7609.54,214500,Theft,No,4
S01849,Pet Insurance,Dog,24265.66,868164,Theft,No,4
S01850,Crop Insurance,Cat,14520.84,204659,Theft,No,4
S01851,Pet Insurance,Data,23374.22,438084,Hacking,Yes,2
S01852,Pet Insurance,Agriculture,22190.48,730887,Health,No,3
S01853,Pet Insurance,Laptop,37498.25,1451940,Health,Yes,5
S01854,Gadget Insurance,Dog,45723.68,1428270,Hacking,Yes,2
S01855,Cyber Insurance,Mobile,37568.0,1314880,Damage,Yes,0
S01856,Pet Insurance,Laptop,32724.7,851496,Weather,No,4
S01857,Cyber Insurance,Data,25024.18,130280,Hacking,Yes,2
S01858,Pet Insurance,Data,44662.44,1767152,Hacking,No,2
S01859,Gadget Insurance,Laptop,42094.0,1136538,Hacking,Yes,0
S01860,Gadget Insurance,Cat,23634.66,313521,Damage,No,1
S01861,Cyber Insurance,Data,46460.06,1678342,Hacking,Yes,3
S01862,Gadget Insurance,Dog,7995.18,309575,Hacking,No,5
S01863,Pet Insurance,Agriculture,4165.0,157250,Health,No,1
S01864,Pet Insurance,Mobile,16564.81,287344,Theft,Yes,4
S01865,Gadget Insurance,Laptop,41537.3,1513750,Damage,No,2
S01866,Cyber Insurance,Agriculture,49288.0,591456,Hacking,No,0
S01867,Crop Insurance,Mobile,19082.0,572460,Weather,Yes,0
S01868,Pet Insurance,Mobile,29640.96,1070762,Hacking,No,3
S01869,Pet Insurance,Dog,18871.86,327369,Theft,Yes,1
S01870,Pet Insurance,Mobile,34773.28,1071434,Hacking,No,3
S01871,Crop Insurance,Agriculture,45192.58,847008,Hacking,No,2
S01872,Gadget Insurance,Data,4095.13,43510,Hacking,Yes,3
S01873,Cyber Insurance,Dog,37035.44,1147216,Hacking,No,5
S01874,Cyber Insurance,Data,4921.0,127946,Weather,Yes,0
S01875,Crop Insurance,Mobile,4154.0,91388,Weather,Yes,0
S01876,Gadget Insurance,Mobile,42954.69,1350530,Health,No,4
S01877,Gadget Insurance,Mobile,5580.33,84700,Damage,Yes,4
S01878,Pet Insurance,Cat,27533.71,544711,Hacking,Yes,2
S01879,Gadget Insurance,Mobile,33585.18,966030,Weather,No,5
S01880,Gadget Insurance,Data,39957.54,203865,Hacking,No,1
S01881,Pet Insurance,Mobile,26751.5,1023228,Damage,No,3
S01882,Pet Insurance,Mobile,16289.34,390103,Hacking,No,2
S01883,Cyber Insurance,Mobile,12949.13,98273,Theft,No,4
S01884,Cyber Insurance,Dog,18495.36,373369,Weather,Yes,3
S01885,Crop Insurance,Dog,43787.58,1329244,Theft,No,4
S01886,Pet Insurance,Agriculture,24608.41,941256,Weather,No,3
S01887,Cyber Insurance,Agriculture,12802.72,248216,Weather,No,1
S01888,Gadget Insurance,Cat,19728.54,636802,Weather,No,2
S01889,Cyber Insurance,Mobile,11239.71,131362,Health,No,3
S01890,Gadget Insurance,Cat,23289.52,360710,Weather,No,5
S01891,Gadget Insurance,Mobile,49453.0,1236325,Weather,No,0
