Policy_ID,Sub_Type,Vehicle_Type,Vehicle_Age,Annual_Premium,Coverage_Amount,No_Claim_Bonus,Accident_History,Claim_Status,No_Claim_Years
M02941,Third Party,Bike,5,11565.37,184320,30,Yes,No,3
M02942,Comprehensive,Bike,3,4317.96,22480,0,No,No,2
M02943,Comprehensive,Car,8,23083.19,175182,0,No,No,4
M02944,Comprehensive,Car,0,6767.17,64710,0,No,No,3
M02945,Comprehensive,Car,13,11515.95,293020,30,No,No,5
M02946,Comprehensive,Car,7,14051.0,154561,20,Yes,No,0
M02947,Comprehensive,Bike,7,29597.0,651134,20,Yes,No,0
M02948,Third Party,Car,3,3557.4,29040,40,Yes,No,1
M02949,Comprehensive,Car,2,23461.09,373905,50,No,Yes,3
M02950,Third Party,Bike,6,11766.0,70596,20,No,No,0
M02951,Comprehensive,Truck,6,21252.69,531096,50,Yes,No,2
M02952,Third Party,Truck,4,5083.38,102619,50,Yes,No,3
M02953,Comprehensive,Truck,13,28094.58,468048,30,Yes,No,2
M02954,Third Party,Car,12,20720.63,496225,50,Yes,Yes,2
M02955,Comprehensive,Car,13,9672.0,203112,10,No,Yes,0
M02956,Comprehensive,Bike,7,14037.88,193895,30,No,No,3
M02957,Third Party,Car,4,22400.06,569963,0,No,No,5
M02958,Third Party,Bike,6,4531.59,44217,40,No,Yes,4
M02959,Third Party,Bike,5,12983.0,181762,40,No,No,0
M02960,Comprehensive,Bike,13,10844.0,86752,50,No,Yes,0
M02961,Comprehensive,Car,0,17804.53,137879,10,No,No,5
M02962,Comprehensive,Car,4,2413.22,61536,30,Yes,No,3
M02963,Third Party,Car,8,2396.27,12730,50,No,Yes,3
M02964,Third Party,Truck,14,22795.09,142410,40,No,No,2
M02965,Comprehensive,Car,13,24022.6,478368,50,No,No,5
M02966,Third Party,Bike,5,12906.18,285560,0,No,No,5
M02967,Comprehensive,Car,1,4402.9,23390,30,Yes,Yes,3
M02968,Third Party,Truck,8,24150.22,251460,30,No,No,2
M02969,Third Party,Car,12,14895.0,193635,20,Yes,Yes,0
M02970,Comprehensive,Car,1,3605.42,84617,40,Yes,No,1
M02971,Third Party,Car,9,27169.28,147280,30,No,No,4
M02972,Third Party,Truck,3,11888.0,237760,10,No,No,0
M02973,Third Party,Car,8,9867.46,115324,30,No,No,3
M02974,Third Party,Car,6,24716.7,401955,0,Yes,No,4
M02975,Comprehensive,Bike,2,4709.88,76896,30,No,No,1
M02976,Third Party,Car,8,16487.52,386952,10,No,Yes,1
M02977,Comprehensive,Car,11,21601.32,157444,0,Yes,No,2
M02978,Comprehensive,Truck,1,13355.89,333040,40,Yes,No,4
M02979,Third Party,Car,9,13946.93,232352,40,No,No,2
M02980,Comprehensive,Truck,0,22357.0,491854,50,No,No,0
M02981,Comprehensive,Bike,11,3590.37,47664,10,No,No,5
M02982,Comprehensive,Car,10,6448.57,135546,10,No,No,5
M02983,Third Party,Bike,11,7839.71,104076,10,Yes,No,5
M02984,Comprehensive,Bike,5,26239.53,512064,20,No,Yes,4
M02985,Comprehensive,Car,6,4676.89,77610,50,No,Yes,5
M02986,Third Party,Bike,11,25383.0,558426,30,No,No,0
M02987,Comprehensive,Car,7,10315.66,182597,30,Yes,Yes,2
M02988,Third Party,Car,9,18676.11,182232,50,No,No,4
M02989,Comprehensive,Car,10,22187.16,254122,0,No,No,2
M02990,Comprehensive,Bike,14,27567.74,418432,40,No,No,4
M02991,Comprehensive,Bike,11,5277.4,71435,40,No,No,2
M02992,Comprehensive,Car,12,15905.4,210990,0,No,No,1
M02993,Comprehensive,Car,9,23899.55,174195,0,No,No,2
M02994,Third Party,Truck,2,2243.53,39712,20,Yes,Yes,5
M02995,Comprehensive,Bike,9,6705.16,88946,40,No,No,1
M02996,Third Party,Car,9,27008.37,168732,0,Yes,Yes,2
M02997,Third Party,Bike,3,6424.29,97510,50,No,No,4
M02998,Comprehensive,Car,6,16241.06,176080,40,No,No,4
M02999,Comprehensive,Bike,6,3598.16,54614,50,No,No,4
M03000,Third Party,Bike,9,22806.02,460389,50,No,Yes,3
M03001,Comprehensive,Bike,7,24066.0,433188,0,No,No,0
M03002,Comprehensive,Bike,6,27365.74,623049,50,No,No,4
M03003,Comprehensive,Truck,5,20900.46,277251,30,No,No,1
M03004,Comprehensive,Bike,1,6972.18,75590,30,Yes,No,4
M03005,Third Party,Car,13,28043.76,148980,30,No,No,3
M03006,Third Party,Truck,6,5775.15,70279,10,No,No,5
M03007,Third Party,Car,3,25204.62,540099,0,No,No,1
M03008,Third Party,Bike,12,16861.45,107490,50,No,Yes,3
M03009,Comprehensive,Truck,7,4813.38,42600,40,Yes,Yes,5
M03010,Comprehensive,Bike,11,6177.92,100864,0,No,No,1
M03011,Comprehensive,Car,12,11671.74,133683,30,Yes,No,2
M03012,Comprehensive,Bike,6,28883.0,606543,20,No,No,0
M03013,Comprehensive,Car,2,20510.0,410200,0,No,No,0
M03014,Comprehensive,Car,1,22136.84,517440,50,Yes,No,3
M03015,Comprehensive,Bike,8,9803.92,130152,50,No,No,5
M03016,Third Party,Car,1,22099.0,397782,20,No,No,0
M03017,Comprehensive,Truck,14,26044.67,518634,50,No,No,5
M03018,Comprehensive,Car,2,15180.45,285498,0,Yes,Yes,5
M03019,Third Party,Car,4,25935.49,440896,30,No,No,3
M03020,Comprehensive,Car,12,4898.9,57255,30,No,Yes,3
M03021,Comprehensive,Car,2,16348.51,364770,20,No,Yes,3
M03022,Comprehensive,Car,5,29879.0,358548,40,Yes,Yes,0
M03023,Third Party,Truck,11,2688.04,51408,50,No,No,3
M03024,Third Party,Car,13,12215.0,183225,10,Yes,No,0
M03025,Third Party,Truck,1,12143.26,232236,10,No,No,3
M03026,Comprehensive,Car,12,9780.79,212080,10,Yes,Yes,4
M03027,Third Party,Car,4,4409.33,92682,20,Yes,No,5
M03028,Comprehensive,Bike,14,20108.57,448665,40,No,No,3
M03029,Third Party,Car,9,10622.22,108390,10,No,Yes,1
M03030,Comprehensive,Truck,4,12775.11,211995,10,Yes,No,5
M03031,Comprehensive,Car,5,15492.3,325641,50,No,Yes,5
M03032,Comprehensive,Car,3,1943.56,22715,0,No,Yes,3
M03033,Comprehensive,Truck,2,9888.28,92664,20,No,No,2
M03034,Comprehensive,Bike,13,22429.55,142986,30,No,No,3
M03035,Comprehensive,Car,9,27068.81,149730,10,No,Yes,5
M03036,Comprehensive,Truck,12,12439.14,126930,50,No,No,1
M03037,Comprehensive,Truck,9,11311.66,162682,40,No,No,5
M03038,Comprehensive,Car,8,15750.56,160720,40,Yes,Yes,1
M03039,Third Party,Car,7,12961.0,259220,0,Yes,Yes,0
M03040,Comprehensive,Car,3,4907.0,122360,50,Yes,Yes,4
M03041,Comprehensive,Truck,8,12983.92,201096,0,No,Yes,5
M03042,Third Party,Car,12,15990.85,322810,20,No,No,3
M03043,Comprehensive,Car,9,7811.0,54677,0,No,No,0
M03044,Third Party,Truck,11,24974.04,514444,0,No,No,4
M03045,Comprehensive,Bike,6,13459.05,214500,30,No,No,3
M03046,Comprehensive,Car,10,13926.76,72505,50,No,Yes,2
M03047,Third Party,Car,10,4260.78,58851,40,No,Yes,3
M03048,Third Party,Car,6,13843.48,197764,50,No,Yes,1
M03049,Third Party,Car,14,20014.54,142961,40,No,Yes,1
M03050,Third Party,Truck,1,26605.0,498636,40,Yes,No,2
M03051,Third Party,Bike,1,8436.0,67488,50,No,No,0
M03052,Third Party,Car,11,8728.37,227112,10,Yes,No,4
M03053,Comprehensive,Bike,9,6665.52,56656,10,No,No,3
M03054,Comprehensive,Bike,2,14903.84,319368,20,No,Yes,1
M03055,Comprehensive,Car,14,17512.0,105072,20,Yes,No,0
M03056,Comprehensive,Truck,1,22418.62,536889,20,No,No,2
M03057,Comprehensive,Truck,9,23935.82,185360,40,Yes,No,5
M03058,Third Party,Truck,5,27971.16,685008,30,No,No,1
M03059,Comprehensive,Car,10,13079.69,136190,10,No,No,2
M03060,Comprehensive,Car,5,12271.26,208608,40,No,No,3
M03061,Comprehensive,Truck,7,23243.68,378000,10,No,No,4
M03062,Third Party,Bike,12,27897.66,227736,20,No,No,1
M03063,Comprehensive,Car,8,7655.76,62496,40,No,No,1
M03064,Third Party,Bike,9,14878.36,300352,50,No,No,3
M03065,Comprehensive,Truck,10,23658.32,130865,30,No,Yes,5
M03066,Comprehensive,Bike,0,21962.0,461202,30,No,No,0
M03067,Comprehensive,Truck,11,11020.45,215064,40,Yes,No,4
M03068,Third Party,Truck,14,3032.12,18564,0,No,No,1
M03069,Comprehensive,Bike,6,12701.93,165252,50,No,No,4
M03070,Comprehensive,Car,5,15139.04,169928,50,Yes,No,1
M03071,Comprehensive,Bike,8,26712.7,608181,20,Yes,Yes,4
M03072,Comprehensive,Bike,10,24186.71,327392,30,Yes,No,2
M03073,Comprehensive,Car,3,13883.66,325841,0,No,No,1
M03074,Comprehensive,Bike,7,27566.82,239096,50,No,No,4
M03075,Third Party,Bike,9,21363.0,341808,10,No,No,0
M03076,Comprehensive,Truck,13,26526.25,635260,20,No,Yes,2
M03077,Third Party,Bike,6,16637.01,294491,40,No,No,2
M03078,Comprehensive,Bike,14,7045.0,70450,50,No,No,0
M03079,Third Party,Bike,3,17085.95,389004,40,No,No,4
M03080,Third Party,Bike,5,26009.84,331620,30,No,No,3
M03081,Comprehensive,Truck,12,4559.0,50149,20,No,No,0
M03082,Comprehensive,Car,10,20885.18,475503,40,No,No,4
M03083,Comprehensive,Car,14,20376.0,285264,50,No,No,0
M03084,Third Party,Car,10,9025.0,63175,30,No,No,0
M03085,Third Party,Car,0,16342.48,383548,20,No,No,1
M03086,Comprehensive,Bike,12,23209.55,603912,20,Yes,No,4
M03087,Third Party,Truck,10,22765.55,338632,0,No,No,3
M03088,Comprehensive,Car,9,16706.06,136376,30,No,No,1
M03089,Comprehensive,Car,13,24494.0,171458,50,Yes,Yes,0
M03090,Third Party,Car,14,10912.13,108648,40,Yes,No,5
M03091,Comprehensive,Truck,3,26423.0,158538,40,No,Yes,0
M03092,Comprehensive,Car,0,7121.0,64089,50,No,No,0
M03093,Third Party,Car,13,4938.36,91018,10,No,Yes,4
M03094,Comprehensive,Car,8,25385.42,605484,40,Yes,No,4
M03095,Comprehensive,Truck,1,12567.52,243656,0,No,No,1
M03096,Third Party,Bike,12,4222.19,44860,20,No,No,3
M03097,Comprehensive,Truck,10,20386.94,457666,50,No,No,1
M03098,Third Party,Truck,1,20040.67,479941,0,No,No,2
M03099,Comprehensive,Car,13,24361.0,365415,20,Yes,Yes,0
M03100,Third Party,Truck,6,4591.92,121920,40,No,No,5
M03101,Comprehensive,Bike,3,15066.0,316386,50,No,No,0
M03102,Comprehensive,Car,1,19335.0,464040,30,No,Yes,0
M03103,Comprehensive,Car,0,4073.86,87297,20,No,Yes,1
M03104,Comprehensive,Bike,9,26824.75,682548,0,Yes,No,5
M03105,Third Party,Truck,8,16018.38,141768,50,No,No,5
M03106,Comprehensive,Truck,0,22223.8,147516,40,No,No,5
M03107,Comprehensive,Car,4,28679.7,468240,30,Yes,No,1
M03108,Comprehensive,Car,1,24383.0,268213,10,Yes,No,0
M03109,Comprehensive,Car,14,20692.7,211150,30,Yes,No,1
M03110,Third Party,Car,8,9170.18,159072,50,Yes,No,4
M03111,Third Party,Bike,9,5103.46,77462,30,No,No,4
M03112,Comprehensive,Car,6,14793.1,166045,0,Yes,No,1
M03113,Third Party,Bike,7,26414.37,204554,40,Yes,No,5
M03114,Comprehensive,Truck,10,8911.0,151487,30,No,No,0
M03115,Comprehensive,Car,2,2450.98,35014,0,No,No,1
M03116,Third Party,Car,9,20915.16,469524,50,Yes,No,1
M03117,Third Party,Bike,11,22400.84,182864,30,No,No,1
M03118,Comprehensive,Car,12,23072.65,384384,10,Yes,No,2
M03119,Third Party,Bike,1,11535.14,62530,40,Yes,Yes,4
M03120,Comprehensive,Bike,3,20192.69,156373,20,Yes,No,5
M03121,Third Party,Bike,1,19539.15,249120,10,No,Yes,3
M03122,Comprehensive,Car,10,19497.57,409830,40,No,No,5
M03123,Third Party,Truck,5,5881.51,43743,30,No,No,3
M03124,Comprehensive,Car,12,22550.19,563520,20,No,No,2
M03125,Comprehensive,Truck,7,20590.78,294154,50,No,Yes,1
M03126,Comprehensive,Car,11,21543.69,201888,50,No,Yes,2
M03127,Comprehensive,Car,8,14634.58,182856,40,No,No,2
M03128,Third Party,Car,4,5438.0,54380,40,No,No,0
M03129,Comprehensive,Car,0,23279.65,151434,40,Yes,Yes,4
M03130,Comprehensive,Bike,0,18644.07,356562,30,Yes,Yes,3
M03131,Comprehensive,Bike,4,11990.3,244700,50,Yes,No,1
M03132,Comprehensive,Bike,5,11833.61,62865,40,No,Yes,3
M03133,Third Party,Bike,6,19627.74,217140,40,No,No,5
M03134,Third Party,Car,0,22244.13,378144,40,Yes,Yes,3
M03135,Comprehensive,Truck,7,25318.82,168060,50,No,No,5
M03136,Comprehensive,Truck,8,17950.21,330837,30,No,No,4
M03137,Comprehensive,Bike,4,22494.07,124425,0,No,No,5
M03138,Third Party,Bike,0,4868.79,56903,0,Yes,Yes,3
M03139,Third Party,Truck,4,19609.74,333360,0,Yes,No,3
M03140,Comprehensive,Car,3,11637.98,141625,50,Yes,No,5
M03141,Third Party,Car,12,14800.72,215754,0,No,No,2
M03142,Third Party,Car,8,27550.21,209083,10,No,No,4
M03143,Third Party,Car,13,14082.0,168984,50,No,No,0
M03144,Comprehensive,Car,5,10574.2,151060,30,No,No,1
M03145,Third Party,Bike,12,2199.57,18696,50,Yes,No,3
M03146,Comprehensive,Car,4,2805.74,34356,0,No,No,1
M03147,Third Party,Bike,2,3942.0,67014,30,No,No,0
M03148,Third Party,Truck,7,7314.72,59712,40,No,Yes,1
M03149,Comprehensive,Bike,5,10158.0,71106,0,No,No,0
M03150,Third Party,Car,6,5325.0,41237,10,No,No,5
M03151,Comprehensive,Truck,8,27166.83,282870,20,No,No,2
M03152,Third Party,Truck,6,3157.7,50325,0,Yes,No,3
M03153,Comprehensive,Bike,5,9090.0,172710,30,Yes,No,0
M03154,Third Party,Car,3,12331.34,301992,50,No,No,1
M03155,Third Party,Car,13,25474.3,243594,50,Yes,No,3
M03156,Comprehensive,Car,8,8555.24,195976,0,No,Yes,2
M03157,Comprehensive,Car,8,11980.57,318096,0,No,Yes,5
M03158,Third Party,Truck,8,26087.96,637514,10,Yes,No,3
M03159,Comprehensive,Truck,2,12759.0,178626,10,No,No,0
M03160,Comprehensive,Truck,8,15863.89,181698,50,No,Yes,2
M03161,Comprehensive,Truck,10,5832.96,59520,0,No,No,1
M03162,Comprehensive,Car,2,4731.89,64051,30,No,No,2
M03163,Third Party,Bike,7,10019.85,146062,50,No,No,2
M03164,Comprehensive,Car,1,12376.34,281778,30,No,No,4
M03165,Third Party,Car,1,20207.78,504984,10,Yes,No,2
M03166,Comprehensive,Truck,1,10694.05,167025,20,No,Yes,2
M03167,Comprehensive,Car,2,9644.39,184446,10,No,No,3
M03168,Third Party,Car,6,23782.64,266948,40,No,Yes,1
M03169,Comprehensive,Bike,6,14186.59,211022,20,No,No,3
M03170,Comprehensive,Truck,7,17504.29,241774,10,No,No,3
M03171,Comprehensive,Truck,14,27908.0,279080,0,No,No,0
M03172,Comprehensive,Truck,3,4721.96,110374,40,No,No,3
M03173,Comprehensive,Bike,1,4452.27,28962,50,No,No,4
M03174,Comprehensive,Car,12,4013.22,69616,0,No,Yes,4
M03175,Comprehensive,Car,4,22844.0,502568,0,Yes,No,0
M03176,Comprehensive,Bike,3,17403.19,269542,20,No,Yes,5
M03177,Comprehensive,Bike,6,19705.84,241296,30,Yes,No,1
M03178,Comprehensive,Truck,4,10575.18,140283,20,No,No,1
M03179,Comprehensive,Car,6,11067.48,258698,40,No,No,3
M03180,Third Party,Bike,11,23986.28,484215,0,Yes,No,3
M03181,Comprehensive,Car,7,15020.45,365574,20,Yes,No,5
M03182,Comprehensive,Car,6,7037.29,171971,0,No,No,3
M03183,Third Party,Truck,8,9660.84,177444,10,No,No,1
M03184,Third Party,Bike,8,15910.95,132536,40,No,No,2
M03185,Comprehensive,Car,1,4007.69,95590,20,Yes,No,4
M03186,Comprehensive,Car,10,11504.63,59895,0,Yes,No,2
M03187,Third Party,Car,12,8321.87,95315,0,No,Yes,2
M03188,Comprehensive,Car,13,24201.1,123475,50,Yes,No,1
M03189,Comprehensive,Car,2,4606.08,23980,40,Yes,No,2
M03190,Comprehensive,Bike,14,7023.46,178710,50,No,No,5
M03191,Comprehensive,Bike,1,11859.0,130449,0,Yes,No,0
M03192,Comprehensive,Bike,8,24153.81,590249,0,Yes,No,3
M03193,Third Party,Bike,0,6297.0,125940,40,Yes,No,0
M03194,Comprehensive,Bike,3,3338.97,61540,20,No,No,4
M03195,Comprehensive,Bike,10,1981.21,12630,40,No,No,3
M03196,Comprehensive,Bike,14,26094.07,326040,10,No,No,2
M03197,Comprehensive,Car,5,25418.62,192906,10,No,No,4
M03198,Comprehensive,Truck,4,6401.05,40806,30,Yes,No,3
M03199,Comprehensive,Bike,3,11457.2,202800,40,No,No,5
M03200,Comprehensive,Truck,6,20142.97,111420,20,No,Yes,5
M03201,Comprehensive,Bike,14,24808.11,164670,30,Yes,No,5
M03202,Third Party,Car,14,4445.48,73770,20,Yes,No,5
M03203,Third Party,Bike,13,22210.21,370016,0,No,No,2
M03204,Comprehensive,Bike,9,20067.0,381273,50,Yes,No,0
M03205,Comprehensive,Truck,4,5929.51,56700,0,No,No,3
M03206,Comprehensive,Car,5,9846.02,61512,40,Yes,Yes,2
M03207,Third Party,Car,10,6301.23,139420,40,No,No,5
M03208,Comprehensive,Car,9,25617.0,281787,0,No,No,0
M03209,Third Party,Car,0,26503.33,316074,0,No,No,4
M03210,Comprehensive,Car,10,5650.43,104142,0,Yes,Yes,4
M03211,Third Party,Truck,6,16174.65,87680,50,No,No,4
M03212,Third Party,Bike,8,21550.38,143046,50,No,No,5
M03213,Comprehensive,Bike,9,10380.33,78778,0,No,No,4
M03214,Third Party,Car,5,3618.16,40612,0,No,No,1
M03215,Third Party,Bike,9,14788.95,345686,20,Yes,No,3
M03216,Third Party,Car,4,21286.94,384489,40,Yes,Yes,3
M03217,Third Party,Bike,2,11769.95,169273,10,Yes,No,5
M03218,Third Party,Truck,13,13491.66,234039,20,No,Yes,1
M03219,Third Party,Bike,3,7652.47,159360,20,Yes,Yes,2
M03220,Comprehensive,Car,7,26573.31,332028,40,Yes,No,2
M03221,Third Party,Car,12,3746.66,28434,20,No,Yes,4
M03222,Comprehensive,Bike,2,18994.0,227928,0,No,No,0
M03223,Comprehensive,Truck,3,27018.93,337596,10,No,No,2
M03224,Comprehensive,Bike,10,8533.0,68264,40,Yes,No,0
M03225,Comprehensive,Bike,13,21038.46,424707,30,Yes,No,3
M03226,Third Party,Car,10,8503.0,68024,0,No,No,0
M03227,Comprehensive,Bike,10,21869.54,116180,50,Yes,No,3
M03228,Comprehensive,Car,11,5806.5,65175,50,Yes,No,1
M03229,Third Party,Bike,4,16671.76,153108,20,No,No,1
M03230,Comprehensive,Car,7,15962.34,176590,20,No,No,5
M03231,Third Party,Car,0,25939.82,430455,40,No,No,5
M03232,Comprehensive,Truck,7,22765.89,493640,0,No,No,4
M03233,Comprehensive,Bike,11,24626.58,128210,50,No,Yes,2
M03234,Comprehensive,Car,11,15570.5,202572,50,Yes,No,4
M03235,Third Party,Car,1,26451.26,140520,50,No,No,3
M03236,Third Party,Truck,0,4201.39,77435,0,No,Yes,4
M03237,Comprehensive,Car,1,16604.0,249060,50,Yes,No,0
M03238,Third Party,Bike,7,9091.91,222180,30,No,No,3
M03239,Comprehensive,Truck,14,24327.22,592086,50,No,No,5
M03240,Third Party,Car,8,9041.48,166068,20,No,No,1
M03241,Comprehensive,Car,8,3317.39,22020,50,No,No,5
M03242,Comprehensive,Car,6,19631.54,490584,0,No,No,2
M03243,Comprehensive,Bike,4,9239.68,137438,40,Yes,No,3
M03244,Third Party,Car,6,24199.93,308544,20,No,No,3
M03245,Comprehensive,Bike,9,20466.0,122796,40,No,No,0
M03246,Comprehensive,Bike,7,8525.47,177540,30,Yes,No,2
M03247,Comprehensive,Truck,6,28039.76,171672,20,No,Yes,1
M03248,Third Party,Bike,14,3195.35,81480,30,No,No,3
M03249,Comprehensive,Car,8,10412.41,66378,20,No,No,3
M03250,Third Party,Car,4,22798.0,113990,20,Yes,No,0
M03251,Comprehensive,Bike,10,23085.03,500560,20,No,No,4
M03252,Comprehensive,Car,4,28382.76,492354,40,No,No,1
M03253,Comprehensive,Truck,3,16554.41,384594,20,No,No,5
M03254,Comprehensive,Car,0,14269.62,341734,0,No,No,2
M03255,Comprehensive,Car,7,8306.02,61775,20,No,Yes,3
M03256,Third Party,Bike,9,15586.14,397440,0,No,No,3
M03257,Third Party,Bike,12,8192.23,117819,30,No,No,5
M03258,Third Party,Truck,5,27446.86,616154,40,No,Yes,1
M03259,Comprehensive,Bike,14,3613.84,54852,20,No,No,4
M03260,Third Party,Bike,0,13664.23,159698,40,No,No,3
M03261,Comprehensive,Car,7,24367.7,124325,0,Yes,Yes,1
M03262,Third Party,Car,4,25300.74,307890,30,No,No,5
M03263,Comprehensive,Bike,3,17521.0,245294,0,No,No,0
M03264,Comprehensive,Car,4,14752.36,351868,0,No,No,4
M03265,Third Party,Bike,0,6389.54,86489,30,No,No,2
M03266,Comprehensive,Bike,8,14031.29,74540,20,No,No,3
M03267,Third Party,Car,8,14098.28,158246,30,Yes,No,1
M03268,Third Party,Bike,13,14204.0,284080,50,No,Yes,0
M03269,Third Party,Bike,5,12344.98,257080,40,No,No,2
M03270,Comprehensive,Car,1,17256.82,140872,50,No,No,1
M03271,Comprehensive,Car,5,20923.0,491050,10,No,Yes,1
M03272,Third Party,Bike,10,21654.14,248017,50,No,No,2
M03273,Third Party,Car,3,15887.0,95322,20,No,No,0
M03274,Comprehensive,Bike,4,3129.37,48468,0,No,No,5
M03275,Third Party,Car,10,18406.0,184060,40,No,No,0
M03276,Third Party,Truck,5,23743.6,334646,40,Yes,No,4
M03277,Comprehensive,Bike,4,25713.37,245880,50,No,No,3
M03278,Comprehensive,Truck,0,6378.02,39846,30,No,No,2
M03279,Comprehensive,Car,9,13735.98,349508,10,Yes,No,5
M03280,Comprehensive,Car,1,8896.19,92630,0,No,No,2
M03281,Third Party,Truck,3,22840.23,332948,20,No,No,2
M03282,Third Party,Car,0,27636.0,165816,40,No,No,0
M03283,Third Party,Car,6,10403.94,232134,30,No,Yes,3
M03284,Comprehensive,Bike,10,5833.06,88536,40,No,No,4
M03285,Third Party,Truck,0,15598.66,270589,40,Yes,Yes,1
M03286,Comprehensive,Bike,10,28138.74,430695,0,No,Yes,1
M03287,Comprehensive,Bike,14,8550.44,124642,30,Yes,Yes,2
M03288,Comprehensive,Car,12,11753.61,124880,20,No,No,3
M03289,Third Party,Car,3,4427.4,34286,50,No,No,5
M03290,Third Party,Truck,1,7955.0,159100,40,No,No,0
M03291,Comprehensive,Car,2,24706.29,183750,40,No,No,3
M03292,Third Party,Bike,0,6890.47,153741,10,No,No,3
M03293,Third Party,Car,9,10408.0,166528,20,No,Yes,0
M03294,Comprehensive,Car,1,11414.35,225815,30,No,No,2
M03295,Third Party,Car,3,25822.54,493848,50,Yes,Yes,3
M03296,Comprehensive,Car,9,27987.82,228472,50,No,No,1
M03297,Comprehensive,Car,1,21142.0,147994,50,No,No,0
M03298,Third Party,Car,12,25338.71,672768,10,No,No,5
M03299,Third Party,Car,3,13800.47,314202,30,Yes,No,4
M03300,Third Party,Car,6,12043.42,100320,0,No,No,2
M03301,Third Party,Car,7,10373.0,72611,50,No,Yes,0
M03302,Comprehensive,Car,9,20462.74,199665,0,Yes,No,4
M03303,Comprehensive,Car,11,19706.4,192285,30,No,No,4
M03304,Third Party,Car,8,13557.0,239968,0,No,No,5
M03305,Third Party,Bike,2,17753.7,301808,30,Yes,No,3
M03306,Third Party,Bike,5,14224.1,157360,30,Yes,No,5
M03307,Third Party,Car,10,9008.15,229704,30,Yes,Yes,3
M03308,Third Party,Bike,10,5308.32,62040,0,No,No,3
M03309,Comprehensive,Truck,7,28651.0,200557,50,Yes,No,0
M03310,Comprehensive,Bike,9,3363.0,53808,0,No,Yes,0
M03311,Comprehensive,Car,14,5875.73,116242,0,No,Yes,2
M03312,Third Party,Truck,6,2650.4,19712,50,No,No,3
M03313,Third Party,Truck,6,7297.78,79120,30,No,Yes,4
M03314,Comprehensive,Car,2,3206.56,78528,10,No,No,1
M03315,Third Party,Bike,5,28442.25,414610,10,No,Yes,2
M03316,Comprehensive,Car,4,21679.0,238469,30,No,No,0
M03317,Comprehensive,Car,4,22729.99,477774,40,Yes,No,5
M03318,Comprehensive,Truck,11,5714.38,83300,0,Yes,No,2
M03319,Third Party,Bike,13,16592.83,172770,20,No,Yes,2
M03320,Third Party,Car,1,16885.75,334058,50,No,Yes,2
M03321,Comprehensive,Car,13,15035.06,281790,50,No,No,2
M03322,Third Party,Bike,12,22445.92,480984,30,No,No,1
M03323,Third Party,Bike,10,13438.59,327074,20,No,No,5
M03324,Third Party,Car,11,7598.36,84060,30,No,No,5
M03325,Third Party,Bike,5,11218.56,260631,0,Yes,No,5
M03326,Comprehensive,Truck,7,5630.21,95712,0,No,No,3
M03327,Third Party,Car,4,9524.37,247824,10,No,Yes,4
M03328,Comprehensive,Car,11,15024.97,83110,30,No,No,5
M03329,Comprehensive,Car,8,5573.2,98651,40,No,No,2
M03330,Comprehensive,Truck,5,9688.52,181584,40,No,Yes,2
M03331,Comprehensive,Bike,14,15596.25,258810,40,Yes,Yes,5
M03332,Third Party,Car,0,3844.38,93566,30,Yes,Yes,5
M03333,Comprehensive,Bike,3,5654.84,111872,10,No,No,2
M03334,Third Party,Truck,11,2782.16,70944,30,No,Yes,3
M03335,Third Party,Car,13,18615.0,204765,0,No,No,0
M03336,Comprehensive,Bike,8,8381.0,41905,10,Yes,No,0
M03337,Third Party,Bike,13,9475.8,62898,0,No,Yes,5
M03338,Comprehensive,Car,14,14495.18,207074,10,No,No,1
M03339,Third Party,Truck,2,12363.83,150458,0,No,Yes,5
M03340,Third Party,Bike,14,18742.8,228085,20,Yes,No,5
M03341,Third Party,Bike,0,13183.0,237294,50,No,No,0
M03342,Third Party,Car,7,7910.81,82370,0,No,No,2
M03343,Comprehensive,Car,3,25680.39,284100,30,Yes,No,5
M03344,Third Party,Truck,10,22258.23,301288,20,No,No,2
M03345,Comprehensive,Car,8,19192.63,119904,50,No,No,2
M03346,Third Party,Truck,2,3692.64,37680,0,No,No,1
M03347,Third Party,Bike,9,28001.42,641432,30,No,No,2
M03348,Comprehensive,Truck,7,18644.0,167796,20,No,Yes,0
M03349,Comprehensive,Car,4,25637.13,408585,20,Yes,Yes,3
M03350,Comprehensive,Bike,10,16212.97,361746,40,No,No,3
M03351,Comprehensive,Car,1,5622.76,54864,40,Yes,Yes,4
M03352,Comprehensive,Truck,1,15798.73,87390,40,Yes,No,5
M03353,Third Party,Car,6,26420.0,290620,20,No,No,0
M03354,Third Party,Truck,2,20478.61,362491,0,No,No,2
M03355,Comprehensive,Truck,4,12246.79,143132,10,Yes,No,3
M03356,Comprehensive,Truck,5,7017.0,147357,40,No,No,0
M03357,Comprehensive,Truck,2,15127.78,80365,20,Yes,No,3
M03358,Comprehensive,Truck,5,26231.41,600886,50,Yes,No,2
M03359,Comprehensive,Bike,8,21443.18,455660,10,Yes,No,3
M03360,Comprehensive,Car,1,7198.83,111496,30,No,No,5
M03361,Comprehensive,Car,1,10300.18,227900,40,No,No,5
M03362,Comprehensive,Truck,2,6653.96,50498,10,Yes,No,4
M03363,Comprehensive,Car,7,1861.34,12108,30,No,Yes,4
M03364,Comprehensive,Car,10,18842.66,160160,30,No,No,3
